fold,accuracy,kappa,macro_f1,macro_precision,macro_recall,log_loss,total_samples
0,0.8870056497175142,0.7519232566107079,0.820992792867663,0.7619244986092812,0.912146686159844,0.40851355894613467,531
1,0.8656716417910447,0.7038105836755055,0.779241132967488,0.7276632089206538,0.8591719343232551,0.4549966143691455,536
2,0.8845437616387337,0.7453068343507596,0.8211651842867732,0.7632981575957312,0.9096773310778626,0.37125517653605355,537
3,0.8696461824953445,0.7070650395099827,0.7832934648471732,0.7294965908780369,0.8649103248645583,0.47311449781000064,537
4,0.8938547486033519,0.7628734999961265,0.8371823624494622,0.7798757960905407,0.9208956071548138,0.3755181196864367,537
