fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.883886,0.701842,0.0,0.906559,0.77504,0.00557,0.060878,24.0
1,,0.885551,0.72949,0.0,0.883851,0.738133,0.006102,0.062091,24.0
2,,0.859383,0.598824,2e-05,0.785207,0.666886,0.010185,0.079164,16.0
3,,0.879127,0.692516,0.0,0.874378,0.742178,0.00652,0.063867,24.0
4,,0.894974,0.735657,0.0,0.893458,0.782421,0.005993,0.060237,24.0
Mean,,0.8805842,0.6916658,4.000000000000001e-06,0.8686906000000001,0.7409316,0.006874,0.0652474,22.4
