Experiment_ID,random_intercept
AGILE,6.420280494115988e-21
COMET_LANCE,-2.299801968041548e-20
Lee_unsat,2.914132630737578e-22
Li_pulmonary,-9.241213387564212e-21
Liu_iphos,1.1934817062462189e-20
Whitehead_siRNA,-6.2015820959040414e-12
Zhou_dendrimer,6.20158212913106e-12
