term,coef,std_error
Intercept,4.411764810921743e-08,0.03689085720689642
C(helper_lipid)[T.DSPC],-1.083523555232557,0.04541458876203722
C(helper_lipid)[T.MDOA],1.1336135759839542e-06,0.10961738965969103
C(cell_line)[T.DC2.4],0.376877653556771,0.04558873996442196
C(cell_line)[T.HeLa],-1.8048128492764498e-07,0.046928086964754784
C(cell_line)[T.IGROV1],-1.0553536034964914e-06,0.10843898988713661
C(cargo)[T.siRNA],1.0835242006451435,0.05703293468032224
