term,coef,std_error
Intercept,3.9140974933684447,0.17055370433917555
C(helper_lipid)[T.DSPC],-0.24946526298400268,0.03074219903189152
C(helper_lipid)[T.MDOA],0.278540897306525,0.2498718166883767
C(cell_line)[T.DC2.4],-3.413143641894933,0.24058729591773123
C(cell_line)[T.HeLa],-2.4550581615519467,0.24070526923000918
C(cell_line)[T.IGROV1],-0.5463446843796657,0.24963609574901455
C(cargo)[T.siRNA],-0.8771940959518285,0.21021613061358188
