bucket,n,n_toxic,roc_auc,pr_auc,recall,precision
ALL,1060,80,0.9838265306122449,0.8183190697707328,0.8125,0.7065217391304348
exact (==1),786,77,0.980620226036305,0.837134993101204,0.8181818181818182,0.7159090909090909
"high [0.7,1)",267,2,0.9962264150943396,0.5833333333333333,1.0,0.6666666666666666
"mid [0.4,0.7)",7,1,0.8333333333333334,0.5,0.0,0.0
