Lipid_name,Num_carbon_in_tail,Num_tails,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A7_I6_T4,18,2,892.4519999999992,1,2
A7_I1_T5,18,2,778.132,2,2
A7_I2_T5,18,2,792.1589999999999,2,2
A7_I3_T5,18,2,820.2129999999999,2,2
A7_I4_T5,18,2,764.1929999999999,2,2
A7_I5_T5,18,2,764.1929999999998,2,2
A7_I6_T5,18,2,790.2309999999997,2,2
A7_I1_T6,12,2,728.072,0,2
A7_I2_T6,12,2,742.0989999999999,0,2
A7_I3_T6,12,2,770.1529999999999,0,2
A7_I4_T6,12,2,714.1329999999998,0,2
A7_I5_T6,12,2,714.1329999999997,0,2
A7_I6_T6,12,2,740.1709999999996,0,2
A7_I1_T7,9,2,868.3419999999995,0,2
A7_I2_T7,9,2,882.3689999999995,0,2
A7_I3_T7,9,2,910.4229999999994,0,2
A7_I4_T7,9,2,854.4029999999995,0,2
A7_I5_T7,9,2,854.4029999999993,0,2
A7_I6_T7,9,2,880.4409999999992,0,2
A7_I1_T8,18,2,692.1300000000002,2,2
A7_I2_T8,18,2,706.1570000000002,2,2
A7_I3_T8,18,2,734.2110000000001,2,2
A7_I4_T8,18,2,678.191,2,2
A7_I5_T8,18,2,678.1909999999999,2,2
A7_I6_T8,18,2,704.2289999999998,2,2
A8_I1_T1,18,2,910.3789999999996,4,3
A8_I2_T1,18,2,924.4059999999994,4,3
A8_I3_T1,18,2,952.4599999999994,4,3
A8_I4_T1,18,2,896.4399999999994,4,3
A8_I5_T1,18,2,896.4399999999993,4,3
A8_I6_T1,18,2,922.4779999999992,4,3
A8_I1_T2,18,2,914.4109999999994,2,3
A8_I2_T2,18,2,928.4379999999992,2,3
A8_I3_T2,18,2,956.4919999999992,2,3
A8_I4_T2,18,2,900.4719999999993,2,3
A8_I5_T2,18,2,900.4719999999992,2,3
A8_I6_T2,18,2,926.5099999999992,2,3
A8_I1_T3,10,2,685.9470000000001,2,3
A8_I2_T3,10,2,699.974,2,3
A8_I3_T3,10,2,728.028,2,3
A8_I4_T3,10,2,672.008,2,3
A8_I5_T3,10,2,672.0079999999999,2,3
A8_I6_T3,10,2,698.0459999999998,2,3
A8_I1_T4,18,2,902.3999999999996,1,3
A8_I2_T4,18,2,916.4269999999996,1,3
A8_I3_T4,18,2,944.4809999999994,1,3
A8_I4_T4,18,2,888.4609999999994,1,3
A8_I5_T4,18,2,888.4609999999993,1,3
A8_I6_T4,18,2,914.4989999999992,1,3
A8_I1_T5,18,2,800.1789999999999,2,3
A8_I2_T5,18,2,814.2059999999998,2,3
A8_I3_T5,18,2,842.2599999999998,2,3
A8_I4_T5,18,2,786.2399999999998,2,3
A8_I5_T5,18,2,786.2399999999997,2,3
A8_I6_T5,18,2,812.2779999999996,2,3
A8_I1_T6,12,2,750.1189999999999,0,3
A8_I2_T6,12,2,764.1459999999998,0,3
A8_I3_T6,12,2,792.1999999999998,0,3
