fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.436018,0.021637,1e-06,0.317962,0.227277,0.000567,0.021155,116.0
1,,0.383815,0.035311,1.9e-05,0.210639,0.150753,0.000522,0.019516,117.0
2,,0.368208,-2.098267,2.4e-05,0.1746,0.132427,0.002165,0.042578,125.0
3,,0.557366,0.093192,0.0,0.40742,0.300595,0.000721,0.024042,91.0
4,,0.464081,0.01137,0.0,0.310752,0.227353,0.000679,0.022917,111.0
Mean,,0.44189760000000006,-0.3873513999999999,8.8e-06,0.2842746,0.20768099999999995,0.0009308000000000001,0.026041599999999998,112.0
