Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A71-T7,2,8,1106.624999999999,4,1
A16-T6,2,7,1541.2419999999995,6,1
A5-T6,2,7,1055.5769999999986,4,2
A44-T10,2,10,1207.8579999999988,4,2
A21-T8,2,9,1185.763999999999,4,2
A49-T4,2,5,1039.533999999999,4,2
A19-T6,2,7,1081.614999999999,4,2
A15-T7,2,8,2108.15,8,3
A44-T6,2,7,1123.695999999999,4,2
A51-T2,2,18,748.1869999999997,2,1
A31-T8,2,9,2654.9829999999993,10,3
A23-T6,2,7,639.9220000000003,2,2
A21-T10,2,10,1213.817999999999,4,2
A35-T2,2,18,804.2989999999994,2,3
A28-T1,2,18,1443.3579999999993,2,3
A70-T10,2,10,1181.7759999999992,4,2
A7-T9,2,8,1125.7119999999986,4,2
A71-T5,2,6,1050.5169999999991,4,1
A10-T1,2,18,1392.2249999999997,2,1
A10-T8,2,9,1131.674999999999,4,1
A7-T5,2,6,1069.6039999999985,4,2
A28-T2,2,18,1439.325999999999,4,3
A41-T10,2,10,619.9280000000001,2,1
A21-T3,2,18,1438.2499999999995,6,2
A33-T5,2,6,1547.2899999999993,6,3
A26-T8,2,9,643.9540000000003,2,1
A71-T8,2,9,1134.6789999999992,4,1
A37-T5,2,6,1096.629999999999,4,3
A9-T7,2,8,1138.710999999999,4,3
A13-T3,2,18,814.2939999999995,3,3
A21-T1,2,18,1446.3139999999994,2,2
A29-T8,2,9,606.9330000000003,2,2
A7-T3,2,18,1406.2519999999993,6,2
A34-T2,2,18,3972.357999999998,12,4
A16-T9,2,8,1583.3229999999996,6,1
A19-T4,2,5,1025.506999999999,4,2
A17-T7,2,8,1111.6409999999992,4,2
A45-T4,2,5,1081.614999999999,4,2
A27-T1,2,18,1426.327,2,2
A38-T4,2,5,1039.533999999999,4,2
A19-T2,2,18,1394.241,4,2
A5-T4,2,5,999.468999999999,4,2
A31-T2,2,18,3296.277999999999,10,3
A33-T4,2,5,1505.2089999999992,6,3
A29-T3,2,18,733.176,3,2
