Experiment_ID,n_distinct_formulations
AA_2008,1
AP_2025,1
BL_2023,2
BL_2024,1
JC_2023,1
JL_2024,1
JM_2016,1
JW_2024,1181
KL_2010,1
KS_2024,1
KW_2014,1
KZ_2016,1
LL_2012,1
LL_2025,8
LM_2019,1
LR_2023,8
LX_2024,1
LX_2024_2,1
LX_2024_3,1
LZ_2025,48
NC_2024,1
RG_2023,1
SB_2024,9
SL_2020,1
SL_2021,1
SP_2020,13
SS_2018,1
SW_2024,1
SX_2025,1
SY_2025,2
XH_2024,14
XH_2024_2,95
XH_2025,211
YR_2024,91
YX_2023,1
YX_2024,2
YY_2023,1
YZ_2022,360
YZ_2024,360
ZC_2023,1
ZH_2023,1
ZL_2022,1
