fold,accuracy,kappa,log_loss,macro_f1,weighted_f1,macro_precision,macro_recall,n_vals,note
0,1.0,1.0,0.006676926793141653,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,72,
1,1.0,1.0,0.007238382059079677,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,69,
2,1.0,1.0,0.09748628392754934,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,74,
3,1.0,1.0,0.007061472788203426,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,72,
4,1.0,1.0,0.01044110892831912,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,65,
