fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.12,0.12399,0.13379,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.09,0.09874,0.10955,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.24479,0.23197,0.22681,11.0
avg,pearson,0.27636,0.27142,0.27222,11.0
avg,pairwise_acc,0.59849,0.59244,0.59056,11.0
avg,gw_pair_acc,0.65487,,,5.0
avg,ef@3,6.18379,,,11.0
avg,ef@5,4.72937,,,11.0
avg,ef@10,3.62413,,,11.0
