fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.19,0.20562,0.21945,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.13,0.14405,0.15618,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.21516,0.20334,0.19828,11.0
avg,pearson,0.2455,0.23828,0.2381,11.0
avg,pairwise_acc,0.58418,0.57932,0.57779,11.0
avg,gw_pair_acc,0.63435,,,5.0
avg,ef@3,5.3004,,,11.0
avg,ef@5,4.72937,,,11.0
avg,ef@10,3.88299,,,11.0
