cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.14835,0.7426,0.0423,0.03057,0.07338,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.16519,0.15965,0.55376
1,BL_2023,720,4,0.18508,0.67575,0.10056,0.11229,0.09281,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.05957,0.05676,0.51867
1,JL_2024,623,4,0.20278,0.67838,0.16041,0.1368,0.15695,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,0.09247,0.12038,0.53758
2,AA_2008,497,4,0.41659,0.63995,0.30168,0.4953,0.4393,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.33333,0.01067,0.6,0.011,0.3,0.0099,0.05266,0.12618,0.53966
2,KS_2024,140,4,0.29168,0.63114,0.22745,0.18525,0.20072,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.0,0.0355,0.38378,0.43252,0.62973
2,LX_2024_2,270,4,0.1757,0.6129,0.0,0.0,0.04117,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.0,0.0328,0.20619,0.20683,0.5683
2,XH_2025,500,3,0.49128,0.81904,0.5028,0.403,0.49628,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.33333,0.15067,0.2,0.1492,0.4,0.1532,0.45809,0.45104,0.7308
3,BL_2023_3CR,480,4,0.26533,0.73955,0.10056,0.11229,0.13,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.16621,0.20044,0.57057
3,KW_2014,1182,4,0.58656,0.85157,0.69673,0.70584,0.60985,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.17635,0.34897,0.55802
4,JW_2024,1801,4,0.20556,0.75602,0.16041,0.11593,0.11445,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.13527,0.15313,0.54523
4,SL_2020,91,4,0.53129,0.82587,0.69673,0.58064,0.54509,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.2,0.0822,0.51872,0.51629,0.73098
