cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.172,0.74624,0.0423,0.04931,0.08039,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.09331,0.1038,0.53115
1,BL_2023,720,4,0.15776,0.67179,0.06704,0.04845,0.07413,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.04716,0.0571,0.51519
1,JL_2024,623,4,0.22943,0.68316,0.1676,0.12113,0.15852,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.1,0.0183,0.03601,0.07693,0.51536
2,AA_2008,497,4,0.47442,0.69685,0.56984,0.41184,0.4172,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.33333,0.01067,0.2,0.011,0.2,0.0099,0.21695,0.26212,0.66495
2,KS_2024,140,4,0.26151,0.65044,0.14286,0.14286,0.20239,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.0,0.0355,0.53461,0.51746,0.675
2,LX_2024_2,270,4,0.08358,0.58332,0.10934,0.09989,0.08832,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.0,0.0328,-0.0698,-0.04924,0.48054
2,XH_2025,500,3,0.54459,0.85209,0.79888,0.85465,0.78826,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.66667,0.15067,0.8,0.1492,0.7,0.1532,0.45853,0.45845,0.73203
3,BL_2023_3CR,480,4,0.30115,0.74472,0.14286,0.12411,0.12078,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.17462,0.16146,0.57554
3,KW_2014,1182,4,0.6385,0.8641,0.59776,0.63432,0.57425,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.26892,0.47252,0.59028
4,JW_2024,1801,4,0.11034,0.74172,0.0,0.03961,0.03562,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.15596,0.15701,0.55207
4,SL_2020,91,4,0.44993,0.78645,0.59776,0.49462,0.4465,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.51228,0.4887,0.72902
