cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.40824,0.81978,0.73184,0.64775,0.47208,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.66667,0.00633,0.4,0.0064,0.2,0.006,0.36286,0.36348,0.62215
1,BL_2023,720,4,0.14617,0.66549,0.0423,0.03057,0.0609,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.03505,0.02479,0.51064
1,JL_2024,623,4,0.20225,0.67996,0.10056,0.15402,0.14347,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,0.01535,0.07083,0.50675
2,AA_2008,497,4,0.30509,0.55938,0.0,0.13121,0.24058,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.0,0.01067,0.2,0.011,0.2,0.0099,0.18349,0.20974,0.63873
2,KS_2024,140,4,0.28039,0.64493,0.14286,0.14286,0.20145,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.0,0.0355,0.47182,0.44925,0.65062
2,LX_2024_2,270,4,0.13579,0.59984,0.0423,0.04931,0.14411,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.1,0.0328,0.02145,0.03373,0.50905
2,XH_2025,500,3,0.44877,0.82455,0.74622,0.57892,0.60596,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.66667,0.15067,0.4,0.1492,0.5,0.1532,0.39119,0.41106,0.69557
3,BL_2023_3CR,480,4,0.23947,0.72954,0.10934,0.11863,0.0869,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.14945,0.11233,0.56409
3,KW_2014,1182,4,0.60448,0.84143,0.59776,0.63432,0.52851,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.1167,0.34031,0.53847
4,JW_2024,1801,4,0.27196,0.76988,0.10056,0.21875,0.20146,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.2,0.0064,0.1,0.006,0.21453,0.22664,0.57275
4,SL_2020,91,4,0.50749,0.81104,0.69673,0.62238,0.50236,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.36085,0.40127,0.65785
