cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.08608,0.74168,0.0,0.0,0.0316,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.16776,0.16056,0.5552
1,BL_2023,720,4,0.13252,0.65999,0.0423,0.04931,0.07223,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.05541,0.06195,0.51717
1,JL_2024,623,4,0.19934,0.66626,0.03352,0.08046,0.09527,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,0.04933,0.08201,0.5198
2,AA_2008,497,4,0.32626,0.55686,0.14286,0.12411,0.27841,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.0,0.01067,0.0,0.011,0.2,0.0099,0.00913,0.11399,0.50608
2,KS_2024,140,4,0.15468,0.55966,0.19393,0.1589,0.15348,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.0,0.0355,-0.04097,-0.05062,0.4892
2,LX_2024_2,270,4,0.28556,0.68508,0.46928,0.50397,0.35911,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.33333,0.03033,0.4,0.0288,0.2,0.0328,-0.01814,0.0496,0.49365
2,XH_2025,500,3,0.48899,0.81581,0.5028,0.64066,0.50686,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.33333,0.15067,0.6,0.1492,0.4,0.1532,0.32601,0.34417,0.66469
3,BL_2023_3CR,480,4,0.3006,0.75143,0.14286,0.12199,0.17834,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.1578,0.17404,0.56821
3,KW_2014,1182,4,0.67512,0.8549,0.83081,0.71928,0.65914,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.66667,0.005,0.4,0.0078,0.3,0.0084,0.07597,0.29059,0.52387
4,JW_2024,1801,4,0.14176,0.75327,0.1676,0.13987,0.10197,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.1456,0.15493,0.54862
4,SL_2020,91,4,0.58035,0.81275,0.56265,0.48799,0.57308,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.3,0.0822,0.42705,0.47421,0.68919
