fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.1,0.10516,0.11542,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.085,0.08686,0.09422,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.20293,0.17679,0.16526,11.0
avg,pearson,0.23235,0.21034,0.20203,11.0
avg,pairwise_acc,0.58028,0.56862,0.56381,11.0
avg,gw_pair_acc,0.61375,,,5.0
avg,ef@3,3.53356,,,11.0
avg,ef@5,3.6784,,,11.0
avg,ef@10,3.10639,,,11.0
