fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.19,0.1975,0.20981,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.15,0.16024,0.17153,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.23374,0.22572,0.22212,11.0
avg,pearson,0.27529,0.26825,0.26795,11.0
avg,pairwise_acc,0.59084,0.58701,0.58569,11.0
avg,gw_pair_acc,0.65366,,,5.0
avg,ef@3,6.18379,,,11.0
avg,ef@5,5.25486,,,11.0
avg,ef@10,4.91846,,,11.0
