fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.11,0.1175,0.12981,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.095,0.10512,0.11679,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.19517,0.17333,0.16589,11.0
avg,pearson,0.22157,0.20668,0.20466,11.0
avg,pairwise_acc,0.5816,0.57222,0.56948,11.0
avg,gw_pair_acc,0.62266,,,5.0
avg,ef@3,4.41698,,,11.0
avg,ef@5,4.20389,,,11.0
avg,ef@10,3.62413,,,11.0
