fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.17,0.17104,0.17821,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.125,0.13188,0.141,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.21439,0.19616,0.18952,11.0
avg,pearson,0.23763,0.22694,0.22548,11.0
avg,pairwise_acc,0.58822,0.57964,0.57686,11.0
avg,ef@3,7.06718,,,11.0
avg,ef@5,5.25486,,,11.0
avg,ef@10,4.14186,,,11.0
