fold,accuracy,kappa,log_loss,macro_f1,weighted_f1,macro_precision,macro_recall,n_vals,note
0,1.0,1.0,0.010431426125638613,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,57,
1,1.0,1.0,0.009014502938991508,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,55,
2,1.0,1.0,0.009507320954516082,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,59,
3,1.0,1.0,0.010589544831780973,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,51,
4,1.0,1.0,0.007389271484412443,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,54,
