fold,accuracy,kappa,log_loss,macro_f1,weighted_f1,macro_precision,macro_recall,n_vals,note
0,1.0,1.0,0.006324036103989779,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,60,
1,1.0,1.0,0.007786427658109513,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,60,
2,1.0,1.0,0.010387154412937574,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,59,
3,1.0,1.0,0.008362721043943342,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,64,
4,1.0,1.0,0.010879847427074162,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,61,
