bucket,n,n_toxic,roc_auc,pr_auc,recall,precision
ALL,1413,106,0.7776306102120657,0.22226506776884034,0.11320754716981132,0.25
"high [0.7,1)",526,0,,,,
"mid [0.4,0.7)",705,78,0.7048726127673496,0.2384163751524208,0.08974358974358974,0.3181818181818182
"low [0,0.4)",182,28,0.7467532467532467,0.25146151361274094,0.17857142857142858,0.19230769230769232
