fold,pearson,r^2,pearson_p_val,spearman,kendall,rmse,n_vals,note
0,0.5652996329105932,0.31956367496885135,6.443113904011629e-09,0.5897172064034392,0.4018566294444531,0.02619413286708175,90,
1,,,,,,0.030383421474594895,87,
2,0.4121998086802937,0.16990868227607073,0.0003545230960845751,0.45849093038405453,0.3140194747237482,0.02682807436277977,71,
3,0.580793820216772,0.337321461601992,1.0979172367987541e-07,0.6116957543543573,0.43726156110025427,0.02759194823135248,71,
4,0.648685229644567,0.4207925271590246,4.500776086022459e-06,0.6886546070091585,0.48132497511944217,0.02606874042987131,41,
