fold,pearson,r^2,pearson_p_val,spearman,kendall,rmse,n_vals,note
0,-0.015590879209768772,0.00024307551453360012,0.9707718383374667,0.07229440390678199,0.0,0.05088604228599367,8,insufficient_data
1,,,,,,0.03553732008396242,16,
2,0.209018922315486,0.04368890988592717,0.3269877422950567,0.1526410616551513,0.12110853465911132,0.04082798119198793,24,
3,0.26714881704841703,0.0713684904503686,0.20695670378449485,0.23128102974376757,0.16017580390398595,0.04077453228267911,24,
4,0.27509855008105394,0.07567921225669814,0.19324796381974807,0.2750402607801585,0.2235105054332695,0.04005353619444975,24,
