fold,pearson,r^2,pearson_p_val,spearman,kendall,rmse,n_vals,note
0,0.48387302540690696,0.23413310471643323,0.012259638685927384,0.5431310318018486,0.4203762668780414,0.04125500309538216,26,
2,0.29830023246863,0.08898302869083871,0.1388272851701417,0.3464790462209467,0.25373492019086,0.043020320974854295,26,
3,0.2930534894049932,0.08588034765244247,0.14624686202330692,0.412335675914474,0.31806208305614847,0.04302900022005124,26,
4,0.6061848295376385,0.36746004756157585,0.0010291234758205074,0.546882164138911,0.4139005014938523,0.039344338362676576,26,
