Lipid_name,Num_tails,MolWt,Num_carbon_in_tail,num_unsaturated_cc_bonds,num_protonatable_nitrogens
5A4-SC2,5,1588.283,4,0,4
6A1-SC2,6,1919.761,4,0,5
1H1-SC2,1,487.791,4,0,1
2H1-SC2,2,706.065,4,0,1
2H2-SC2,2,734.119,4,0,1
2H3-SC2,2,762.173,4,0,1
2H6-SC2,2,846.335,4,0,1
1A1-SC3,1,388.574,3,0,2
1A2-SC3,1,445.67,3,0,3
1A3-SC3,1,418.6,3,0,2
1A4-SC3,1,390.59,3,0,2
2A2-SC3,2,734.079,3,0,3
2A3-SC3,2,705.037,3,0,2
2A4-SC3,2,698.989,3,0,1
3A5-SC3,3,1053.546,3,0,4
4A1-SC3,4,1353.966,3,0,4
4A3-SC3,4,1298.886,3,0,3
5A3-SC3,5,1630.364,3,0,4
5A4-SC3,5,1588.283,3,0,4
6A1-SC3,6,1919.761,3,0,5
6A2-SC3,6,1918.773,3,0,4
1H1-SC3,1,487.791,3,0,1
1H2-SC3,1,529.872,3,0,1
1H3-SC3,1,585.98,3,0,1
2H1-SC3,2,706.065,3,0,1
2H2-SC3,2,734.119,3,0,1
2H3-SC3,2,762.173,3,0,1
2H5-SC3,2,818.281,3,0,1
2H6-SC3,2,846.335,3,0,1
1A2-SC4,1,431.643,4,0,3
1A3-SC4,1,404.573,4,0,2
1A4-SC4,1,376.563,4,0,2
1A5-SC4,1,390.59,4,0,2
2A1-SC4,2,676.983,4,0,2
2A2-SC4,2,706.025,4,0,3
2A3-SC4,2,676.983,4,0,2
2A5-SC4,2,662.956,4,0,2
3A5-SC4,3,1011.465,4,0,4
4A2-SC4,4,1233.726,4,0,2
5A1-SC4,5,1503.133,4,0,3
5A4-SC4,5,1518.148,4,0,4
6A1-SC4,6,1835.599,4,0,5
6A2-SC4,6,1834.611,4,0,4
1H1-SC4,1,473.764,4,0,1
1H2-SC4,1,515.845,4,0,1
2H1-SC4,2,678.011,4,0,1
2H2-SC4,2,706.065,4,0,1
2H3-SC4,2,734.119,4,0,1
2H6-SC4,2,818.281,4,0,1
1A1-SC5,1,388.574,5,0,2
1A2-SC5,1,445.67,5,0,3
1A3-SC5,1,418.6,5,0,2
1A4-SC5,1,390.59,5,0,2
1A5-SC5,1,404.617,5,0,2
2A1-SC5,2,705.037,5,0,2
2A2-SC5,2,734.079,5,0,3
2A5-SC5,2,691.01,5,0,2
2A7-SC5,2,707.009,5,0,2
2A11-SC5,2,750.122,5,0,3
3A1-SC5,3,979.419,5,0,2
3A2-SC5,3,993.446,5,0,2
3A5-SC5,3,1053.546,5,0,4
4A2-SC5,4,1289.834,5,0,2
4A4-SC5,4,1301.842,5,0,2
5A2-SC5,5,1631.352,5,0,5
6A2-SC5,6,1918.773,5,0,4
1H1-SC5,1,487.791,5,0,1
1H2-SC5,1,529.872,5,0,1
2H1-SC5,2,706.065,5,0,1
2H2-SC5,2,734.119,5,0,1
2H6-SC5,2,846.335,5,0,1
1A1-SC6,1,402.601,6,0,2
1A3-SC6,1,432.627,6,0,2
1A4-SC6,1,404.617,6,0,2
2A3-SC6,2,733.091,6,0,2
2A11-SC6,2,778.176,6,0,3
3A1-SC6,3,1021.5,6,0,2
3A2-SC6,3,1035.527,6,0,2
3A5-SC6,3,1095.627,6,0,4
4A4-SC6,4,1357.95,6,0,2
5A1-SC6,5,1643.403,6,0,3
5A2-SC6,5,1701.487,6,0,5
5A3-SC6,5,1700.499,6,0,4
6A1-SC6,6,2003.923,6,0,5
6A2-SC6,6,2002.935,6,0,4
1H1-SC6,1,501.818,6,0,1
1H2-SC6,1,543.899,6,0,1
1H3-SC6,1,600.007,6,0,1
2H1-SC6,2,734.119,6,0,1
2H2-SC6,2,762.173,6,0,1
2H3-SC6,2,790.227,6,0,1
2H4-SC6,2,818.281,6,0,1
2H6-SC6,2,874.389,6,0,1
1A3-SC7,1,446.654,7,0,2
1A4-SC7,1,418.644,7,0,2
1A5-SC7,1,432.671,7,0,2
2A2-SC7,2,790.187,7,0,3
2A6-SC7,2,761.145,7,0,2
2A7-SC7,2,763.117,7,0,2
3A1-SC7,3,1063.581,7,0,2
3A2-SC7,3,1077.608,7,0,2
1H1-SC7,1,515.845,7,0,1
1H3-SC7,1,614.034,7,0,1
2H1-SC7,2,762.173,7,0,1
2H2-SC7,2,790.227,7,0,1
2H3-SC7,2,818.281,7,0,1
1A1-SC8,1,430.655,8,0,2
1A2-SC8,1,487.751,8,0,3
1A4-SC8,1,432.671,8,0,2
1A5-SC8,1,446.698,8,0,2
2A3-SC8,2,789.199,8,0,2
2A6-SC8,2,789.199,8,0,2
2A7-SC8,2,791.171,8,0,2
2A11-SC8,2,834.284,8,0,3
3A2-SC8,3,1119.689,8,0,2
4A4-SC8,4,1470.166,8,0,2
1H1-SC8,1,529.872,8,0,1
1H2-SC8,1,571.953,8,0,1
2H1-SC8,2,790.227,8,0,1
2H2-SC8,2,818.281,8,0,1
2H3-SC8,2,846.335,8,0,1
