fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.89968,0.755116,0.0,0.630819,0.506748,0.002442,0.031568,859
1,0.913202,0.789482,0.0,0.62629,0.502915,0.002497,0.032195,859
2,0.900335,0.757754,0.0,0.599359,0.478619,0.002552,0.032179,852
3,0.912009,0.785652,0.0,0.629448,0.504671,0.002429,0.031644,863
4,0.901773,0.755588,0.0,0.615213,0.49261,0.002491,0.033098,863
