Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,mRNA/Cells
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996,5.0
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465,5.0
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864,5.0
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815,5.0
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099,5.0
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217,5.0
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345,5.0
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452,5.0
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695,5.0
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996,5.0
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465,5.0
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864,5.0
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815,5.0
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099,5.0
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217,5.0
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345,5.0
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452,5.0
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695,5.0
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995,5.0
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045,5.0
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922,5.0
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395,5.0
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099,5.0
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217,5.0
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345,5.0
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452,5.0
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695,5.0
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995,5.0
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045,5.0
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922,5.0
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395,5.0
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999,5.0
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275,5.0
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139,5.0
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.2474551,5.0
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695,5.0
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995,5.0
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045,5.0
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922,5.0
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395,5.0
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999,5.0
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275,5.0
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139,5.0
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.2474551,5.0
Liu_iphos,25,30,30,1,MDOA,10.69837925,53.49189625,5.0
Liu_iphos,25,30,30,1,MDOA,10.94726749,54.73633745,5.0
Liu_iphos,25,30,30,1,MDOA,11.19615573,55.98077865,5.0
Liu_iphos,25,30,30,1,MDOA,11.44504396,57.2252198,5.0
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045,5.0
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922,5.0
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395,5.0
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999,5.0
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275,5.0
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139,5.0
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.2474551,5.0
Liu_iphos,25,30,30,1,MDOA,10.69837925,53.49189625,5.0
Liu_iphos,25,30,30,1,MDOA,10.94726749,54.73633745,5.0
Liu_iphos,25,30,30,1,MDOA,11.19615573,55.98077865,5.0
Liu_iphos,25,30,30,1,MDOA,11.44504396,57.2252198,5.0
Liu_iphos,25,30,30,1,MDOA,11.6939322,58.469661,5.0
Liu_iphos,25,30,30,1,MDOA,11.94282043,59.714102149999995,5.0
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395,5.0
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999,5.0
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275,5.0
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139,5.0
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.2474551,5.0
Liu_iphos,25,30,30,1,MDOA,10.69837925,53.49189625,5.0
Liu_iphos,25,30,30,1,MDOA,10.94726749,54.73633745,5.0
Liu_iphos,25,30,30,1,MDOA,11.19615573,55.98077865,5.0
Liu_iphos,25,30,30,1,MDOA,11.44504396,57.2252198,5.0
Liu_iphos,25,30,30,1,MDOA,11.6939322,58.469661,5.0
Liu_iphos,25,30,30,1,MDOA,11.94282043,59.714102149999995,5.0
Liu_iphos,25,30,30,1,MDOA,12.19170867,60.95854335,5.0
Liu_iphos,25,30,30,1,MDOA,12.4405969,62.2029845,5.0
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275,5.0
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139,5.0
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.2474551,5.0
Liu_iphos,25,30,30,1,MDOA,10.69837925,53.49189625,5.0
Liu_iphos,25,30,30,1,MDOA,10.94726749,54.73633745,5.0
Liu_iphos,25,30,30,1,MDOA,11.19615573,55.98077865,5.0
Liu_iphos,25,30,30,1,MDOA,11.44504396,57.2252198,5.0
Liu_iphos,25,30,30,1,MDOA,11.6939322,58.469661,5.0
Liu_iphos,25,30,30,1,MDOA,11.94282043,59.714102149999995,5.0
Liu_iphos,25,30,30,1,MDOA,12.19170867,60.95854335,5.0
Liu_iphos,25,30,30,1,MDOA,12.4405969,62.2029845,5.0
Liu_iphos,25,30,30,1,MDOA,12.68948514,63.4474257,5.0
Liu_iphos,25,30,30,1,MDOA,12.93837337,64.69186685,5.0
Liu_iphos,25,30,30,1,MDOA,6.485164718,32.42582359,5.0
Liu_iphos,25,30,30,1,MDOA,6.734052953,33.670264765,5.0
Liu_iphos,25,30,30,1,MDOA,6.982941188,34.91470594,5.0
Liu_iphos,25,30,30,1,MDOA,7.231829423,36.159147115,5.0
Liu_iphos,25,30,30,1,MDOA,7.480717658,37.40358829,5.0
Liu_iphos,25,30,30,1,MDOA,7.729605893,38.648029465,5.0
Liu_iphos,25,30,30,1,MDOA,7.978494128,39.89247064,5.0
Liu_iphos,25,30,30,1,MDOA,8.227382363,41.136911815000005,5.0
Liu_iphos,25,30,30,1,MDOA,8.476270598,42.38135299,5.0
Liu_iphos,25,30,30,1,MDOA,8.725158834,43.62579417,5.0
Liu_iphos,25,30,30,1,MDOA,8.974047069,44.870235345,5.0
Liu_iphos,25,30,30,1,MDOA,9.222935304,46.11467652,5.0
Liu_iphos,25,30,30,1,MDOA,9.471823539,47.359117695,5.0
Liu_iphos,25,30,30,1,MDOA,7.978494128,39.89247064,5.0
Liu_iphos,25,30,30,1,MDOA,8.227382363,41.136911815000005,5.0
Liu_iphos,25,30,30,1,MDOA,8.476270598,42.38135299,5.0
Liu_iphos,25,30,30,1,MDOA,8.725158834,43.62579417,5.0
Liu_iphos,25,30,30,1,MDOA,8.974047069,44.870235345,5.0
Liu_iphos,25,30,30,1,MDOA,9.222935304,46.11467652,5.0
Liu_iphos,25,30,30,1,MDOA,9.471823539,47.359117695,5.0
Liu_iphos,25,30,30,1,MDOA,9.720711774,48.60355887,5.0
Liu_iphos,25,30,30,1,MDOA,9.969600009,49.848000045000006,5.0
Liu_iphos,25,30,30,1,MDOA,10.21848824,51.0924412,5.0
Liu_iphos,25,30,30,1,MDOA,10.46737648,52.3368824,5.0
Liu_iphos,25,30,30,1,MDOA,10.71626471,53.58132355000001,5.0
Liu_iphos,25,30,30,1,MDOA,10.96515295,54.825764750000005,5.0
Liu_iphos,25,30,30,1,MDOA,9.471823539,47.359117695,5.0
Liu_iphos,25,30,30,1,MDOA,9.720711774,48.60355887,5.0
Liu_iphos,25,30,30,1,MDOA,9.969600009,49.848000045000006,5.0
Liu_iphos,25,30,30,1,MDOA,10.21848824,51.0924412,5.0
Liu_iphos,25,30,30,1,MDOA,10.46737648,52.3368824,5.0
Liu_iphos,25,30,30,1,MDOA,10.71626471,53.58132355000001,5.0
Liu_iphos,25,30,30,1,MDOA,10.96515295,54.825764750000005,5.0
Liu_iphos,25,30,30,1,MDOA,11.21404118,56.070205900000005,5.0
Liu_iphos,25,30,30,1,MDOA,11.46292942,57.3146471,5.0
Liu_iphos,25,30,30,1,MDOA,11.71181765,58.55908825,5.0
Liu_iphos,25,30,30,1,MDOA,11.96070589,59.80352945,5.0
Liu_iphos,25,30,30,1,MDOA,12.20959413,61.04797065,5.0
Liu_iphos,25,30,30,1,MDOA,12.45848236,62.2924118,5.0
Liu_iphos,25,30,30,1,MDOA,10.96515295,54.825764750000005,5.0
Liu_iphos,25,30,30,1,MDOA,11.21404118,56.070205900000005,5.0
Liu_iphos,25,30,30,1,MDOA,11.46292942,57.3146471,5.0
Liu_iphos,25,30,30,1,MDOA,11.71181765,58.55908825,5.0
Liu_iphos,25,30,30,1,MDOA,11.96070589,59.80352945,5.0
Liu_iphos,25,30,30,1,MDOA,12.20959413,61.04797065,5.0
Liu_iphos,25,30,30,1,MDOA,12.45848236,62.2924118,5.0
Liu_iphos,25,30,30,1,MDOA,12.7073706,63.53685300000001,5.0
Liu_iphos,25,30,30,1,MDOA,12.95625883,64.78129415,5.0
Liu_iphos,25,30,30,1,MDOA,13.20514707,66.02573535,5.0
Liu_iphos,25,30,30,1,MDOA,13.4540353,67.27017649999999,5.0
Liu_iphos,25,30,30,1,MDOA,13.70292354,68.5146177,5.0
Liu_iphos,25,30,30,1,MDOA,13.95181177,69.75905885,5.0
Liu_iphos,25,30,30,1,MDOA,12.45848236,62.2924118,5.0
Liu_iphos,25,30,30,1,MDOA,12.7073706,63.53685300000001,5.0
Liu_iphos,25,30,30,1,MDOA,12.95625883,64.78129415,5.0
Liu_iphos,25,30,30,1,MDOA,13.20514707,66.02573535,5.0
Liu_iphos,25,30,30,1,MDOA,13.4540353,67.27017649999999,5.0
Liu_iphos,25,30,30,1,MDOA,13.70292354,68.5146177,5.0
Liu_iphos,25,30,30,1,MDOA,13.95181177,69.75905885,5.0
Liu_iphos,25,30,30,1,MDOA,14.20070001,71.00350005,5.0
