lipid_id,smiles,score_mean,score_std,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,num_protonatable_nitrogens,num_unsaturated_cc_bonds,Num_carbon_in_tail
n-HK-V-s1(13),CCCCCCCCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCCCCCCCC)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)O)C(C)C,6.3303651433691766,3.7516130514343913,6.774527840158977,7.0,39.0,8.196500000000007,0.8125,211.48,7.0,7.0,62.0,873.666698124,247.10899999999907,1.0,0.0,13.0
Pr2A-KK-n-s1(7),CCCCCCC(=O)NCCCCC(NC(=O)CCCCCC)C(=O)NC(CCCCN)C(=O)NCCCN,6.330141129032258,7.32089064761119,6.320446299969945,6.0,26.0,2.777300000000004,0.8620689655172413,168.44000000000003,6.0,6.0,39.0,554.4519543360001,157.82659999999987,2.0,0.0,7.0
PrOHA-KK-n-s2(9/9),CCCCCCCCCC(CCCCCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCCCCCC)CCCCCCCCC)C(=O)NC(CCCCN)C(=O)NCCCO,6.328685035842294,11.139795406642106,6.826010373391389,5.0,50.0,12.665299999999984,0.9272727272727272,162.65,6.0,6.0,65.0,919.842871588,275.7599999999991,1.0,0.0,19.0
Bu2A-HHK-n-u(Hyp),CCCCCCCC/C=C\CCCCCC(=O)NCCCCC(NC(=O)CCCCC/C=C\CCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCCN,6.326108870967742,2.9686933799526267,6.871517552297545,10.0,45.0,9.028600000000006,0.7222222222222222,228.88,8.0,8.0,69.0,962.7408661079999,278.9702999999993,3.0,2.0,16.0
Pr2A-KSK-K-s1(13),CCCCCCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCNC(=O)CCCCCCCCCCCC)NC(=O)CCCCCCCCCCCC)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NCCCN,6.325716845878136,5.331321795962349,7.286356769573228,11.0,77.0,14.100199999999989,0.8902439024390244,334.1699999999999,12.0,12.0,103.0,1458.2271402879994,422.75190000000174,2.0,0.0,13.0
Pr2A-K-S-s2(8/10),CCCCCCCCCCC(CCCCCCCC)C(=O)NC(CO)C(=O)NCCCCC(NC(=O)C(CO)NC(=O)C(CCCCCCCC)CCCCCCCCCC)C(=O)NCCCN,6.325296818996415,9.340916072920434,6.873685437284414,6.0,50.0,9.972100000000001,0.9090909090909091,211.98,8.0,8.0,68.0,964.8279497959999,280.9254999999993,1.0,0.0,19.0
Pr2A-HK-S-s2(5/9),CCCCCCCCCC(CCCCC)C(=O)NC(CO)C(=O)NCCCCC(NC(=O)C(CO)NC(=O)C(CCCCC)CCCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCN,6.324428763440859,1.4876470265589377,6.8991483453666875,9.0,46.0,6.30190000000001,0.8301886792452831,269.76,10.0,10.0,70.0,989.7616611279999,278.21189999999933,2.0,0.0,15.0
Et2A-KK-n-s1(8),CCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCC)C(=O)NC(CCCCN)C(=O)NCCN,6.3211245519713275,9.733160775606216,6.345369658600052,6.0,27.0,3.167400000000005,0.8666666666666667,168.44000000000003,6.0,6.0,40.0,568.4676044,162.4435999999998,2.0,0.0,8.0
n-SHHK-n-u(Lin),CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCC/C=C\C/C=C\CCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)O,6.319500448028674,5.237933988526608,6.940634775203703,9.0,46.0,8.847600000000005,0.6491228070175439,260.39,9.0,9.0,74.0,1031.714710936,292.6044999999997,2.0,4.0,18.0
PrOHA-SRK-n-s2(5/5),CCCCCC(CCCCC)C(=O)NCCCCC(NC(=O)C(CCCCC)CCCCC)C(=O)NC(CCCNC(=N)N)C(=O)NC(CO)C(=O)NCCCO,6.316756272401434,8.147831031988915,6.699705984040157,8.0,37.0,4.035070000000009,0.8571428571428571,247.85999999999999,10.0,8.0,57.0,810.630646964,227.14989999999926,1.0,0.0,11.0
