IL_SMILES,Experiment_value,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,Dose_ug_nucleicacid,Sample_weight
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCCN(C)C,4.472089488,35.0,16.0,46.5,2.5,10.0,6.55278459625063,3,36,13.0275,0.866666667,45.14,0,5,50,699.664179,220.425,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCCN1CCCC1,4.463215259,35.0,16.0,46.5,2.5,10.0,6.589245546295544,3,36,13.5617,0.872340426,45.14,0,5,52,725.679829,227.545,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(CC)CCCNCC,3.878274157,35.0,16.0,46.5,2.5,10.0,6.616417198135503,3,41,12.801,0.872340426,70.67,2,5,53,745.7060438,231.6854,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN(C)C,2.565824307,35.0,16.0,46.5,2.5,10.0,6.532577348562405,3,35,12.6374,0.863636364,45.14,0,5,49,685.6485289,215.808,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN(CC)CC,3.15785114,35.0,16.0,46.5,2.5,10.0,6.572591585844345,3,37,13.4176,0.869565217,45.14,0,5,51,713.679829,225.042,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(C)CCN(C)C,3.188261707,35.0,16.0,46.5,2.5,10.0,6.5781519969834505,3,38,11.9729,0.866666667,61.88,1,5,51,717.6747436,222.4617,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(C)CCCN(C)C,-0.444794102,35.0,16.0,46.5,2.5,10.0,6.5974676145965265,3,39,12.363,0.869565217,61.88,1,5,52,731.6903937,227.0787,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N1CCN(C)CC1,0.384572443,35.0,16.0,46.5,2.5,10.0,6.575344981504875,3,35,11.7269,0.866666667,61.88,1,5,51,715.6590936,220.3477,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(CC)CCN(C)C,0.999820445,35.0,16.0,46.5,2.5,10.0,6.5974676145965265,3,39,12.363,0.869565217,61.88,1,5,52,731.6903937,227.0787,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(CC)CCO,0.738483578,35.0,16.0,46.5,2.5,10.0,6.559850337333862,2,38,11.7937,0.863636364,78.87,2,5,50,704.6431092,215.6105,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(C)CCN(CC)CC,0.479232867,35.0,16.0,46.5,2.5,10.0,6.616417198135503,3,40,12.7531,0.872340426,61.88,1,5,53,745.7060438,231.6957,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(C)CCO,0.191489397,35.0,16.0,46.5,2.5,10.0,6.539786802498607,2,37,11.4036,0.860465116,78.87,2,5,49,690.6274591,210.9935,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OC(C)(C)C)N(CC)CCCNCC,3.711520803,35.0,16.0,46.5,2.5,10.0,6.653271977980522,3,40,13.5796,0.87755102,70.67,2,5,55,773.7373439,240.8974,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCCN1CCCC1,3.635545379,35.0,16.0,46.5,2.5,10.0,6.627096485466428,3,35,14.3403,0.87755102,45.14,0,5,54,753.7111292,236.757,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCCN(C)C,3.546299668,35.0,16.0,46.5,2.5,10.0,6.592013866200361,3,35,13.8061,0.872340426,45.14,0,5,52,727.6954791,229.637,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN(C)C,1.726660714,35.0,16.0,46.5,2.5,10.0,6.572591585844345,3,34,13.416,0.869565217,45.14,0,5,51,713.679829,225.02,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN(CC)CC,3.844042837,35.0,16.0,46.5,2.5,10.0,6.611066097370381,3,36,14.1962,0.875,45.14,0,5,53,741.7111292,234.254,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(NCCCN1CCCC1)C(=O)NCS(=O)(=O)c1ccc(C)cc1,2.001818663,35.0,16.0,46.5,2.5,10.0,6.718256829796568,3,39,13.73172,0.784313725,78.51,2,5,58,825.6781148,251.3032,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(NCCN(CC)CC)C(=O)NCS(=O)(=O)c1ccc(C)cc1,3.737306236,35.0,16.0,46.5,2.5,10.0,6.703633412853279,3,40,13.58762,0.78,78.51,2,5,57,813.6781148,248.8002,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(NCCN(C)C)C(=O)NCS(=O)(=O)c1ccc(C)cc1,3.820367389,35.0,16.0,46.5,2.5,10.0,6.668620801599743,3,38,12.80742,0.770833333,78.51,2,5,55,785.6468146,239.5662,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(NCCCN(C)C)C(=O)NCS(=O)(=O)c1ccc(C)cc1,1.456197424,35.0,16.0,46.5,2.5,10.0,6.686280334768473,3,39,13.19752,0.775510204,78.51,2,5,56,799.6624647,244.1832,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCS(=O)(=O)c1ccc(C)cc1)N(C)CCN(CC)CC,0.345332765,35.0,16.0,46.5,2.5,10.0,6.720690490830987,3,40,13.92982,0.784313725,69.72,1,5,58,827.6937648,253.4275,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCS(=O)(=O)c1ccc(C)cc1)N1CCN(C)CC1,-0.088669003,35.0,16.0,46.5,2.5,10.0,6.683761366213089,3,35,12.90362,0.775510204,69.72,1,5,56,797.6468146,242.0795,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCS(=O)(=O)c1ccc(C)cc1)N(CC)CCCNCC,2.180686648,35.0,16.0,46.5,2.5,10.0,6.720690490830987,3,41,13.97772,0.784313725,78.51,2,5,58,827.6937648,253.4172,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCS(=O)(=O)c1ccc(C)cc1)N(C)CCCN(C)C,1.637111397,35.0,16.0,46.5,2.5,10.0,6.703633412853279,3,39,13.53972,0.78,69.72,1,5,57,813.6781148,248.8105,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCS(=O)(=O)c1ccc(C)cc1)N(CC)CCN(C)C,0.068285818,35.0,16.0,46.5,2.5,10.0,6.703633412853279,3,39,13.53972,0.78,69.72,1,5,57,813.6781148,248.8105,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCS(=O)(=O)c1ccc(C)cc1)N(C)CCN(C)C,2.107374246,35.0,16.0,46.5,2.5,10.0,6.686280334768473,3,38,13.14962,0.775510204,69.72,1,5,56,799.6624647,244.1935,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OC(C)(C)C)N(CC)CCO,1.498663101,35.0,16.0,46.5,2.5,10.0,6.598808711225632,2,37,12.5723,0.869565217,78.87,2,5,52,732.6744093,224.8225,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OC(C)(C)C)N(C)CCN(CC)CC,0.581922521,35.0,16.0,46.5,2.5,10.0,6.653271977980522,3,39,13.5317,0.87755102,61.88,1,5,55,773.7373439,240.9077,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCS(=O)(=O)c1ccc(C)cc1)N(CC)CCO,1.583119163,35.0,16.0,46.5,2.5,10.0,6.669869848158366,2,38,12.97042,0.770833333,86.71,2,5,55,786.6308302,237.3423,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OC(C)(C)C)N(C)CCCN(C)C,0.374199832,35.0,16.0,46.5,2.5,10.0,6.635014362799652,3,38,13.1416,0.875,61.88,1,5,54,759.7216938,236.2907,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OC(C)(C)C)N(C)CCN(C)C,3.596488941,35.0,16.0,46.5,2.5,10.0,6.616417198135503,3,37,12.7515,0.872340426,61.88,1,5,53,745.7060438,231.6737,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OC(C)(C)C)N(CC)CCN(C)C,0.541999553,35.0,16.0,46.5,2.5,10.0,6.635014362799652,3,38,13.1416,0.875,61.88,1,5,54,759.7216938,236.2907,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1,1.0
