Lipid_name,Num_carbon_in_tail,Num_tails,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A1Iso12DC18,18,2,702.2539999999998,2,2
A1Iso22DC18,18,2,702.2539999999998,2,2
A1Iso32DC18,18,2,716.2809999999997,2,2
A1Iso42DC18,18,2,700.1939999999998,2,3
A1Iso72DC18,18,2,756.3019999999997,2,3
A1Iso82DC18,18,2,728.2479999999996,2,3
A1Iso102DC18,18,2,728.2919999999997,2,2
A1Iso1C11,11,2,509.9080000000005,0,2
A1Iso2C11,11,2,509.9080000000005,0,2
A1Iso3C11,11,2,523.9350000000005,0,2
A1Iso4C11,11,2,507.8480000000005,0,3
A1Iso5C11,11,2,521.8750000000006,0,3
A1Iso6C11,11,2,549.9290000000004,0,3
A1Iso7C11,11,2,563.9560000000004,0,3
A1Iso8C11,11,2,535.9020000000005,0,3
A1Iso9C11,11,2,622.0170000000003,0,2
A1Iso10C11,11,2,535.9460000000005,0,2
A1Iso1C10,10,2,481.8540000000005,0,2
A1Iso2C10,10,2,481.8540000000005,0,2
A1Iso3C10,10,2,495.8810000000005,0,2
A1Iso4C10,10,2,479.7940000000005,0,3
A1Iso5C10,10,2,493.8210000000005,0,3
A1Iso6C10,10,2,521.8750000000006,0,3
A1Iso7C10,10,2,535.9020000000005,0,3
A1Iso8C10,10,2,507.8480000000005,0,3
A1Iso9C10,10,2,593.9630000000003,0,2
A1Iso10C10,10,2,507.8920000000005,0,2
A1Iso1C9,9,2,453.8000000000003,0,2
A1Iso2C9,9,2,453.8000000000003,0,2
A1Iso3C9,9,2,467.8270000000004,0,2
A1Iso4C9,9,2,451.7400000000003,0,3
A1Iso5C9,9,2,465.7670000000004,0,3
A1Iso6C9,9,2,493.8210000000005,0,3
A1Iso7C9,9,2,507.8480000000005,0,3
A1Iso8C9,9,2,479.7940000000005,0,3
A1Iso9C9,9,2,565.9090000000004,0,2
A1Iso10C9,9,2,479.8380000000004,0,2
A1Iso1C8,8,2,425.74600000000027,0,2
A1Iso2C8,8,2,425.74600000000027,0,2
A1Iso3C8,8,2,439.7730000000003,0,2
A1Iso4C8,8,2,423.68600000000026,0,3
A1Iso5C8,8,2,437.7130000000003,0,3
A1Iso6C8,8,2,465.7670000000004,0,3
A1Iso7C8,8,2,479.7940000000005,0,3
A1Iso8C8,8,2,451.7400000000003,0,3
A1Iso9C8,8,2,537.8550000000005,0,2
A1Iso10C8,8,2,451.78400000000033,0,2
A1Iso1C7,7,2,397.6920000000002,0,2
A1Iso2C7,7,2,397.6920000000002,0,2
A1Iso3C7,7,2,411.7190000000002,0,2
A1Iso4C7,7,2,395.6320000000002,0,3
A1Iso5C7,7,2,409.6590000000002,0,3
A1Iso6C7,7,2,437.7130000000003,0,3
A1Iso7C7,7,2,451.7400000000004,0,3
A1Iso8C7,7,2,423.68600000000026,0,3
A1Iso9C7,7,2,509.80100000000056,0,2
A1Iso10C7,7,2,423.73000000000025,0,2
A1Iso1CC7,7,2,423.73000000000025,0,2
A1Iso2CC7,7,2,423.73000000000025,0,2
A1Iso3CC7,7,2,437.7570000000003,0,2
A1Iso4CC7,7,2,421.6700000000003,0,3
A1Iso5CC7,7,2,435.69700000000034,0,3
A1Iso6CC7,7,2,463.7510000000004,0,3
A1Iso7CC7,7,2,477.7780000000005,0,3
