fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
avg,hit_rate@3_rand,0.03656,0.03109,0.02617,31.0
avg,hit_rate@5,0.10578,0.12034,0.12721,31.0
avg,hit_rate@5_rand,0.03626,0.03089,0.02608,31.0
avg,hit_rate@10,0.10644,0.11761,0.12185,31.0
avg,hit_rate@10_rand,0.03665,0.03124,0.02635,31.0
avg,spearman,0.17726,0.16442,0.16097,31.0
avg,pearson,0.19931,0.19366,0.19637,31.0
avg,pairwise_acc,0.57873,0.56954,0.56471,31.0
avg,gw_pair_acc,0.61462,,,5.0
avg,ef@3,3.15813,,,31.0
avg,ef@5,2.78309,,,31.0
avg,ef@10,2.83993,,,31.0
