label,n_pairs,mean_unweighted,mean_n_weighted,median,n_positive,n_negative,n_zero,wilcoxon_stat,wilcoxon_p,sign_test_p,boot_median,boot_ci_lo,boot_ci_hi
Δ Spearman,27,-0.038834430432065255,-0.03248062691878668,-0.044428005597052594,6,21,0,102.0,0.03620612621307373,0.005924612283706665,-0.044428005597052594,-0.1312010763387386,-0.024069654483323155
Δ Pearson,27,-0.050469979719956155,-0.04400246616662314,-0.058031274101812524,6,21,0,92.0,0.018655240535736084,0.005924612283706665,-0.058031274101812524,-0.13374174322499366,-0.023273714706197046
