experiment_id,n_vals,n_clusters,cluster_fraction,mean_tanimoto,spearman_base,spearman_ft,delta_spearman,pearson_base,pearson_ft,delta_pearson
AA_2008,497,22,0.04426559356136821,0.47450892817413004,0.12427900322502154,-0.05059851035174976,-0.1748775135767713,0.1457504286634892,0.003927723291836075,-0.14182270537165312
SL_2021,572,8,0.013986013986013986,0.6440369102898209,0.09416205465520587,-0.056485566076576864,-0.15064762073178273,0.16143317387223796,-0.055585100571757175,-0.21701827444399513
SW_2024,180,4,0.022222222222222223,0.7143604809317151,-0.015397695581446684,-0.04504319791786062,-0.029645502336413936,0.038228657768514744,-0.11913816860715223,-0.15736682637566698
YX_2024,1200,14,0.011666666666666667,0.5651615889341831,0.026746627977470634,-0.0009222055303505415,-0.027668833507821174,0.05172965160953309,0.017459967738452813,-0.03426968387108028
KW_2014,1182,37,0.031302876480541454,0.5271682342538093,0.23361771206806786,0.0969162125542941,-0.13670149951377375,0.39696256435977983,0.2632208211347862,-0.13374174322499366
LL_2012,112,3,0.026785714285714284,0.6846798885194206,-0.04638437045789494,0.4063753402005695,0.45275971065846443,0.06760140434400291,0.47056393098166605,0.40296252663766313
LM_2019,1128,67,0.05939716312056738,0.31071622381552855,0.12561974077816782,0.15614805405490756,0.030528313276739744,0.12221140749357008,0.14000591332181148,0.017794505828241394
XH_2024_2,90,10,0.1111111111111111,0.5135721748740026,0.12471957004520696,-0.030856752823911527,-0.1555763228691185,0.21409484453357958,0.0580960695019805,-0.1559987750315991
YR_2024,286,11,0.038461538461538464,0.534365781576916,0.22718005041561898,0.18577287859474198,-0.041407171820877,0.23302280425651467,0.17499153015470215,-0.058031274101812524
YY_2023,119,4,0.03361344537815126,0.6934438156350153,0.26181284220340056,-0.0018009056244867733,-0.2636137478278873,0.2081138131707099,-0.031549253924083615,-0.2396630670947935
JW_2024,1830,23,0.012568306010928962,0.5285595775495439,0.22207938671943095,0.1980097322361078,-0.024069654483323155,0.22225906428857606,0.198985349582379,-0.023273714706197046
XH_2025,500,39,0.078,0.42480522591455605,0.27779500193488516,0.556867640539053,0.27907263860416787,0.31682586168015436,0.5515312485958762,0.23470538691572185
ZC_2023,100,7,0.07,0.6631483479423815,0.4872517281829706,0.47729857037144474,-0.009953157811525837,0.5100447385988854,0.5100431322655854,-1.6063333000415625e-06
BL_2023_3CR,480,36,0.075,0.4026494483874621,-0.07074418591867705,-0.18229665098301454,-0.11155246506433748,-0.08885403118727522,-0.20173941773685494,-0.11288538654957972
BL_2024,560,12,0.02142857142857143,0.6081608659682026,0.00513559665436451,-0.03338584801850311,-0.038521444672867625,0.0013914768798934083,0.012391430661302971,0.010999953781409562
JC_2023,288,14,0.04861111111111111,0.5301176030564468,0.15988151458455466,0.09900186495512374,-0.06087964962943092,0.1977393394584778,0.12942491816802415,-0.06831442129045365
JM_2016,72,2,0.027777777777777776,0.7257384059190315,-0.15517097130291127,-0.2331713525995618,-0.07800038129665052,-0.03792364471862541,-0.19281923816516486,-0.15489559344653944
KL_2010,50,6,0.12,0.6434849505289599,-0.04091629467079256,-0.17211737100953114,-0.1312010763387386,-0.004831347887024529,-0.21696773470053365,-0.21213638681350913
KS_2024,140,6,0.04285714285714286,0.5994567145257385,0.5151004253486837,0.4162517357373698,-0.09884868961131393,0.5047990855175889,0.4584652469213481,-0.046333838596240795
LX_2024_2,270,14,0.05185185185185185,0.5574982706372406,0.03979347958398853,0.23390368223735297,0.19411020265336443,0.06877308120278233,0.26494593856182513,0.1961728573590428
LX_2024_3,252,14,0.05555555555555555,0.4247249110087361,0.17548490433895522,0.13105689874190263,-0.044428005597052594,0.2544285675861151,0.143320758033265,-0.1111078095528501
NC_2024,260,14,0.05384615384615385,0.501551668996199,0.44971449277366554,0.2720184210092468,-0.17769607176441876,0.47067284593270425,0.3470387225603782,-0.12363412337232604
SL_2020,91,7,0.07692307692307693,0.5968502566999992,0.6895006919567815,0.4793576197052968,-0.21014307225148476,0.589471468046291,0.5405944704050195,-0.048876997641271513
BL_2023,720,14,0.019444444444444445,0.6267106531447917,0.05688968247193095,0.1427143830021695,0.08582470053023854,0.061057318563554445,0.1412223052106336,0.08016498664707913
JL_2024,623,13,0.02086677367576244,0.569835471764718,0.06900523880677928,-0.07942982752207008,-0.14843506632884934,0.14225445924626057,-0.08122949349277422,-0.2234839527390348
KZ_2016,1512,27,0.017857142857142856,0.5798407063877471,0.1551139008687174,0.14632421828362469,-0.008789682585092717,0.21557185061704554,0.1803853346187256,-0.03518651599831993
LX_2024,180,14,0.07777777777777778,0.5134605715882241,-0.00987897179288596,0.02195247043790957,0.03183144223079553,-0.00632675710960634,-0.013773730162363752,-0.007446973052757412
