metric,covariate,rho,p,n
delta_spearman,n,0.25828118145521467,0.19333867011488734,27
delta_spearman,cluster_fraction,-0.12087912087912088,0.5481103009803667,27
delta_spearman,mean_tanimoto,-0.01587301587301587,0.9373662509116757,27
delta_pearson,n,0.237826288834057,0.23226705462887556,27
delta_pearson,cluster_fraction,0.024420024420024417,0.9037673775784161,27
delta_pearson,mean_tanimoto,-0.17826617826617824,0.3736683508561941,27
