IL_SMILES,Experiment_value,rel,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,num_protonatable_nitrogens,num_unsaturated_cc_bonds,Num_carbon_in_tail,Dose_ug_nucleicacid,Sample_weight
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.815103662065646,3,46,16.316099999999967,0.8793103448275862,80.22999999999999,1,7,65,909.826158904,280.29669999999913,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCC#CCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-0.4578109423564123,0,35.0,16.0,46.5,2.5,10.0,6.508691637694473,3,24,6.861300000000009,0.7948717948717948,97.74,0,9,48,669.4716867359998,191.33099999999928,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,10,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCC#CCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.529382341245852,3,25,7.251400000000009,0.8,97.74,0,9,49,683.4873367999999,195.9479999999992,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,10,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCC#CCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.569522092798945,3,24,8.03000000000001,0.8095238095238095,97.74,0,9,51,711.5186369279999,205.15999999999912,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,10,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCC#CCCCCCC)NCCN1CCCC1,3.801570006586688,3,35.0,16.0,46.5,2.5,10.0,6.487697717020922,3,25,8.434700000000008,0.825,80.22999999999999,1,7,47,655.528807688,196.57669999999928,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,10,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCC#CCCCCCC)NCCN1CCCC1,3.2100674789852626,2,35.0,16.0,46.5,2.5,10.0,6.4876977170209225,3,28,8.436300000000008,0.825,80.22999999999999,1,7,47,655.528807688,196.59869999999927,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,10,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCC#CCCCCCC)NCCN1CCCC1,2.167004370801205,2,35.0,16.0,46.5,2.5,10.0,6.526563671258848,3,26,8.968900000000005,0.8333333333333334,80.22999999999999,1,7,49,681.544457752,203.6966999999992,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,10,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-2.0177810199521136,0,35.0,16.0,46.5,2.5,10.0,6.78829696583171,3,43,14.040799999999976,0.8888888888888888,97.74,0,9,63,885.7533878879999,263.38599999999894,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,0.2140315992398948,1,35.0,16.0,46.5,2.5,10.0,6.803980172565322,3,44,14.430899999999976,0.8909090909090909,97.74,0,9,64,899.7690379519998,268.002999999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,0.7837519994634626,1,35.0,16.0,46.5,2.5,10.0,6.834627441723854,3,43,15.20949999999997,0.8947368421052632,97.74,0,9,66,927.8003380799998,277.21499999999924,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,18,0.05,1.0
