fold,pearson,r2,spearman,mse,mae,n_vals,note
0,0.11611807902467931,-0.1651119502876237,0.2554421223838388,0.0008323366676313309,0.02480379857142856,112.0,
1,0.2228316495425281,0.023020148320691325,0.24348003232610974,0.0006844051445463896,0.02192633873156342,113.0,
2,0.01617998866725391,-0.570522102383985,0.06919692331189504,0.0010887879347871656,0.028481036484848475,110.0,
3,-0.11310441634570852,-1.8393708768595625,-0.03594363447166014,0.0019179002447256076,0.0405625998005698,117.0,
4,0.09899976170460342,-0.07152973510286831,0.22181150308062172,0.0007332977482135459,0.02272508597701148,116.0,
Mean,0.06820501251867124,-0.5247029032626697,0.15079738932616102,0.001051345547980808,0.02769977191308435,113.6,
