fold,pearson,r2,spearman,mse,mae,n_vals,note
0,0.08122684301868886,-0.33181102060198153,0.12608115961847458,0.0012629403377575935,0.02890674714285715,56.0,
1,-0.13366925149811934,-0.6836611198238023,-0.051740014672837016,0.0013901084432999238,0.02851894084745763,59.0,
2,-0.09148524544579166,-0.879284540544458,-0.1121123817980206,0.0017990989928579405,0.03402309766666667,60.0,
3,-0.09271089331944246,-2.7476938131245006,-0.030662916486687914,0.0036120069213943966,0.04960565267857141,56.0,
4,-0.1548481311870392,-0.8172377208998518,-0.12395448773234238,0.0018273578165302318,0.03286321754385965,57.0,
Mean,-0.07829733568634076,-1.091937642998919,-0.03847772821428267,0.0019783025023680173,0.0347835311758825,57.6,
