Fold,Pearson_R,Spearman_Rho,RMSE,MAE,Best_Iteration
0,0.017720757140086543,-0.06035521702073322,1.3704265066266887,1.152244797516829,24.0
1,-0.07483848776136517,-0.05876185743444898,1.0344060230528442,0.8588245271275302,18.0
2,-0.4134767544582131,-0.36449378645470054,1.164269568862348,0.9394671470657043,257.0
3,0.19116745815784714,0.21203352238606313,0.9878124849214825,0.6986911242090509,23.0
4,0.1084680718157807,0.08973882213353579,1.3546854021517178,1.132112646794685,20.0
Mean,-0.03419179102117277,-0.03636770327805676,1.1823199971230163,0.9562680485427599,68.4
