fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.95195,0.810605,0.0,0.821683,0.707925,0.008377,0.064615,19.0
1,,0.886739,0.630168,1e-06,0.795855,0.715871,0.019612,0.097108,18.0
2,,0.876682,0.6196,1e-06,0.634313,0.572604,0.018364,0.090527,19.0
3,,0.865809,0.599457,1e-06,0.634909,0.566038,0.015843,0.085389,20.0
4,,0.79771,0.465503,0.000214,0.563399,0.472316,0.01927,0.088073,16.0
Mean,,0.8757780000000001,0.6250666,4.34e-05,0.6900318000000001,0.6069508000000001,0.0162932,0.0851424,18.4
