fold,accuracy,kappa,log_loss,macro_f1,weighted_f1,macro_precision,macro_recall,n_vals,note
0,0.8923076923076924,0.5380710659898478,0.30377884055406396,0.50876279715426,0.9111440355584032,0.47222222222222227,0.6277777777777778,65,
1,0.9344262295081968,0.6347305389221557,0.2613251073046452,0.5434343434343435,0.9441629408842523,0.5,0.6432748538011696,61,
2,0.9824561403508771,0.848,0.1893572613032026,0.6159323542501113,0.9836272925303913,0.5833333333333334,0.6604938271604938,57,
3,0.9852941176470589,0.8811188811188811,0.2715074473151211,0.6270049577136191,0.9860532139364933,0.6,0.6614583333333334,68,
4,0.9180327868852459,0.5769764216366158,0.2986421493878367,0.5231710185838626,0.9319157305320639,0.48148148148148145,0.6374269005847953,61,
