fold,accuracy,kappa,log_loss,macro_f1,macro_precision,macro_recall,n_vals,note
0,0.9375,0.9139784946236559,0.7303096997664467,0.9142857142857143,0.9375,0.9166666666666666,16,
1,0.85,0.7909407665505226,0.780987828215081,0.7922771672771672,0.9017857142857143,0.7833333333333332,20,
2,0.9,0.8639455782312925,0.6642117081435102,0.875,0.875,0.875,20,
3,0.85,0.7923875432525952,0.7783935105891382,0.833829365079365,0.8611111111111112,0.825,20,
4,1.0,1.0,0.5554964005093106,1.0,1.0,1.0,20,
