fold,accuracy,kappa,log_loss,macro_f1,macro_precision,macro_recall,n_vals,note
0,0.9915966386554622,0.0,0.06237264950270513,0.2489451476793249,0.24789915966386555,0.25,119,
1,0.9819819819819819,0.0,0.11062362872276944,0.24772727272727274,0.24549549549549549,0.25,111,
2,0.9916666666666667,0.6629213483146068,0.07597365525488739,0.4156118143459916,0.49789915966386555,0.375,120,
3,0.9912280701754386,0.0,0.09054683941285999,0.2488986784140969,0.24780701754385964,0.25,114,
4,0.9913793103448276,0.6627906976744187,0.07893600072321276,0.4155749636098981,0.49782608695652175,0.375,116,
