fold,accuracy,kappa,log_loss,macro_f1,macro_precision,macro_recall,n_vals,note
0,1.0,1.0,0.2980489363533519,0.5,0.5,0.5,43,
1,1.0,1.0,0.32217853487380677,0.5,0.5,0.5,41,
2,0.9782608695652174,0.8770053475935828,0.1850044837811044,0.4692101740294511,0.45,0.49404761904761907,46,
3,1.0,1.0,0.36615372558884896,0.5,0.5,0.5,44,
4,0.9782608695652174,0.8456375838926175,0.19899188225641576,0.4613445378151261,0.4375,0.4941860465116279,46,
