cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.34217,0.83245,0.34398,0.36743,0.4421,0.32925,0.82744,0.3338,0.33108,0.33077,0.05821,0.07583,0.09927,0.52523
1,BL_2023,720,4,0.54156,0.85777,1.0,0.84156,0.66131,0.32778,0.79753,0.31617,0.32262,0.32456,0.0552,0.14777,0.13494,0.54824
1,JL_2024,623,4,0.31196,0.80477,0.39664,0.32627,0.27089,0.33945,0.80394,0.33133,0.33418,0.33568,0.05501,0.07073,0.08127,0.52818
1,SL_2021,572,3,0.15763,0.67342,0.10934,0.09776,0.1136,0.22861,0.72752,0.22652,0.2252,0.22582,0.05057,-0.36988,-0.35896,0.3132
2,LM_2019,1080,4,0.46262,0.84264,0.59776,0.55085,0.58182,0.32545,0.81116,0.32934,0.32789,0.32714,0.05733,0.06167,0.15585,0.51963
2,LX_2024_3,252,4,0.48435,0.80959,0.56984,0.48894,0.44326,0.33027,0.75968,0.33397,0.33366,0.33139,0.0769,0.20387,0.16723,0.56714
3,BL_2023_3CR,480,4,0.16296,0.73882,0.23464,0.20919,0.18892,0.28726,0.75986,0.2886,0.28906,0.28886,0.05787,0.02315,-0.0078,0.50956
3,KW_2014,1182,4,0.58386,0.87273,0.86592,0.70292,0.66256,0.32968,0.81473,0.32388,0.32471,0.32853,0.05616,0.18743,0.30528,0.56184
4,JW_2024,1801,4,0.29669,0.83666,0.59776,0.47163,0.45711,0.32925,0.82744,0.3338,0.33108,0.33077,0.05821,0.09051,0.09198,0.52887
4,SL_2020,91,4,0.64664,0.86094,0.56265,0.68392,0.61458,0.36091,0.75321,0.35896,0.3603,0.36115,0.11777,0.55866,0.53129,0.74437
