,precision,recall,f1-score,support
AGILE,1.0,1.0,1.0,1100.0
COMET_LANCE,1.0,1.0,1.0,1978.0
Lee_unsat,0.6439393939393939,0.9550561797752809,0.7692307692307693,89.0
Li_pulmonary,1.0,1.0,1.0,680.0
Liu_iphos,1.0,1.0,1.0,572.0
Whitehead_siRNA,1.0,1.0,1.0,1150.0
Zhou_dendrimer,0.9972583961617546,0.9687083888149135,0.9827760891590679,1502.0
accuracy,0.9927874416631312,0.9927874416631312,0.9927874416631312,0.9927874416631312
macro avg,0.9487425414430213,0.9891092240843135,0.9645724083414053,7071.0
weighted avg,0.9949360369248426,0.9927874416631312,0.9934367450683721,7071.0
