Column_name,Type
IL_SMILES,Y_val
quantified_toxicity,Y_val
Ionizable_Lipid_Mol_Ratio,X_val
Helper_Lipid_Mol_Ratio,X_val
Cholesterol_Mol_Ratio,X_val
PEG_Lipid_Mol_Ratio,X_val
Ionizable_Lipid_to_mRNA_weight_ratio,X_val
lnLipid/Cells,X_val
lnNA/Cells,X_val
lnLipid_concentration,X_val
lnNA_concentration,X_val
Num_tails,X_val
Num_carbon_in_tail,X_val
lnMolWt,X_val
num_unsaturated_cc_bonds,X_val
num_protonatable_nitrogens,X_val
num_permanent_cationic_N,X_val
formal_net_charge,X_val
Helper_lipid_ID_DOPE,X_val
Helper_lipid_ID_DSPC,X_val
Helper_lipid_ID_MDOA,X_val
Cargo_type_mRNA,X_val
Cargo_type_siRNA,X_val
Model_type_HeLa,X_val
Model_type_HepG2,X_val
Model_type_IGROV1,X_val
Model_type_MDA_MB,X_val
smiles,Metadata
viability,Metadata
Formulation,Metadata
Helper_lipid_ID,Metadata
Comment,Metadata
Lipid_name,Metadata
Experiment_ID,Metadata
Cargo_type,Metadata
Model_type,Metadata
unnormalized_toxicity,Metadata
paper_link,Metadata
