IL_SMILES,Experiment_value,rel,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,num_permanent_cationic_N,formal_net_charge,Dose_ug_nucleicacid,Sample_weight
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.877388432,2,26.81407839,20.19325792,49.98677811,3.005885581,15.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0.947192922,1,20.01432942,30.01236273,44.95932722,5.013980639,5.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0.390600527,1,60.02486547,9.955589716,25.03236612,4.987178697,15.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0.527842487,1,34.98663596,10.02230272,49.99897875,4.992082568,15.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.19117863,1,44.01601738,29.96994032,25.02304528,0.990997014,5.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.793518345,2,39.00193213,10.01579906,49.9960415,0.98622731,15.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0.070369285,1,38.95422471,9.97226692,50.06615412,1.007354253,5.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.763020132,2,19.99749432,26.79280388,50.01826465,3.191437156,5.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0.039871072,1,35.35463826,15.2324203,46.89204956,2.520891885,10.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0.26098312,1,39.23126315,9.486692741,50.29001779,0.992026318,15.0,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.124573,348.369,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.901445602,1,38.08185171,9.516602967,47.65236589,4.749179435,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
