fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.951162,0.879558,0.0,0.891693,0.733358,0.001927,0.031231,90.0
1,,0.953516,0.880541,0.0,0.892456,0.737285,0.001884,0.031178,93.0
2,insufficient_data,0.937273,0.746819,0.226683,1.0,1.0,0.001383,0.023143,3.0
3,,0.951826,0.879539,0.0,0.890643,0.734012,0.0019,0.030342,93.0
4,,0.945891,0.860956,0.0,0.883884,0.727932,0.002193,0.033035,93.0
Mean,,0.9479336,0.8494826,0.0453366,0.9117352000000001,0.7865173999999999,0.0018574,0.0297858,74.4
