fold,accuracy,kappa,log_loss,macro_f1,weighted_f1,macro_precision,macro_recall,n_vals,note
0,1.0,1.0,0.004634094232245206,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,56,
1,1.0,1.0,0.008507674287721631,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,61,
2,1.0,1.0,0.011352638374288413,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,61,
3,1.0,1.0,0.007381595658618719,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,54,
4,1.0,1.0,0.0065193181941347895,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,64,
