fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.494133,0.0,0.536197,0.002559,0.032485,797.0
1,0.467224,0.0,0.515727,0.00263,0.033097,789.0
2,0.479183,0.0,0.497858,0.002706,0.033297,791.0
3,0.512033,0.0,0.52589,0.002551,0.032547,796.0
4,0.4871,0.0,0.513419,0.002611,0.034027,799.0
Mean,0.487935,0.0,0.517818,0.002611,0.033091,794.4
