fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.438686,0.0,0.482991,0.003147,0.036686,797.0
1,0.415627,0.0,0.485473,0.003287,0.03702,789.0
2,0.409505,0.0,0.461152,0.003482,0.037718,791.0
3,0.473524,0.0,0.501797,0.003127,0.035293,796.0
4,0.466572,0.0,0.496622,0.002978,0.036334,799.0
Mean,0.440783,0.0,0.485607,0.003204,0.03661,794.4
