fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.671184,6.7e-05,0.70255,0.00115,0.024431,29.0
1,0.418739,0.02657,0.384836,0.001668,0.033253,28.0
2,0.506071,0.007076,0.608762,0.001209,0.028611,27.0
3,0.563984,0.001171,0.559413,0.001436,0.029154,30.0
4,0.622021,0.000243,0.635737,0.001399,0.030031,30.0
Mean,0.5564,0.007025,0.57826,0.001372,0.029096,28.8
