Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Comment,Lipid/Cells,mRNA/Cells
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,15.4742251985672,,,
comet,45.0,13.4,39.1,2.5,DOPE,11.9342781498209,,,
comet,45.0,13.4,39.1,2.5,DOPE,10.0,,,
comet,45.0,13.4,39.1,2.5,DOPE,10.0,,,
comet,45.0,13.4,39.1,2.5,DOPE,11.060582463790686,,,
comet,45.0,13.4,39.1,2.5,DOPE,17.705964802990188,,,
comet,45.0,13.4,39.1,2.5,DOPE,10.55910294346675,,,
comet,45.0,13.4,39.1,2.5,DOPE,15.4742251985672,,,
comet,35.0,28.000000000000004,34.5,2.5,DOPE,11.9342781498209,,,
comet,35.0,28.000000000000004,34.5,2.5,DOPE,10.0,,,
comet,35.0,28.000000000000004,34.5,2.5,DOPE,10.0,,,
comet,35.0,28.000000000000004,34.5,2.5,DOPE,11.060582463790686,,,
comet,35.0,28.000000000000004,34.5,2.5,DOPE,17.705964802990188,,,
comet,35.0,28.000000000000004,34.5,2.5,DOPE,10.55910294346675,,,
comet,35.0,28.000000000000004,34.5,2.5,DOPE,15.4742251985672,,,
comet,15.0,21.099999999999998,61.4,2.5,DOPE,11.9342781498209,,,
comet,15.0,21.099999999999998,61.4,2.5,DOPE,10.0,,,
comet,15.0,21.099999999999998,61.4,2.5,DOPE,10.0,,,
comet,15.0,21.099999999999998,61.4,2.5,DOPE,11.060582463790686,,,
comet,15.0,21.099999999999998,61.4,2.5,DOPE,17.705964802990188,,,
comet,15.0,21.099999999999998,61.4,2.5,DOPE,10.55910294346675,,,
comet,15.0,21.099999999999998,61.4,2.5,DOPE,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DOPE,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DOPE,15.4742251985672,,,
