experiment_1,experiment_2,mean_tanimoto,max_tanimoto
Xue_CAD_LNP,Yu_Aminoglycoside,0.13037915055882354,0.20618556701030927
Xue_CAD_LNP,Lee_unsat,0.17748940914722208,0.36
Xue_CAD_LNP,Zhang_Aminoglycoside,0.13085718744991032,0.19672131147540983
Xue_CAD_LNP,Farbiak_Dendrimer_HeLa,0.23343756683109035,0.30985915492957744
Xue_CAD_LNP,Farbiak_Dendrimer_igrov1,0.23343756683109035,0.30985915492957744
Xue_CAD_LNP,Han_amidine,0.2234129986393189,0.38571428571428573
Xue_CAD_LNP,Han_branched,0.23605222219965466,0.38596491228070173
Xue_CAD_LNP,Han_a3,0.143507924606736,0.3088235294117647
Xue_CAD_LNP,Lin_peptide,0.20564601929950194,0.31343283582089554
Xue_CAD_LNP,Liu_iphos,0.19811866743641493,0.43103448275862066
Xue_CAD_LNP,AGILE,0.23206003719118767,0.5070422535211268
Xue_CAD_LNP,Li_pulmonary,0.1840489602598902,0.3218390804597701
Xue_CAD_LNP,Miao_3CR,0.18750349783834622,0.3508771929824561
Xue_CAD_LNP,Li_3CR,0.18256120330972694,0.4246575342465753
Yu_Aminoglycoside,Lee_unsat,0.13661817041798746,0.25773195876288657
Yu_Aminoglycoside,Zhang_Aminoglycoside,0.3379835049935324,0.6883116883116883
Yu_Aminoglycoside,Farbiak_Dendrimer_HeLa,0.17646521580404914,0.24742268041237114
Yu_Aminoglycoside,Farbiak_Dendrimer_igrov1,0.17646521580404914,0.24742268041237114
Yu_Aminoglycoside,Han_amidine,0.1600381640862674,0.2736842105263158
Yu_Aminoglycoside,Han_branched,0.19546857292922717,0.28205128205128205
Yu_Aminoglycoside,Han_a3,0.09829609123612985,0.18181818181818182
Yu_Aminoglycoside,Lin_peptide,0.1576332034972445,0.2872340425531915
Yu_Aminoglycoside,Liu_iphos,0.1307732879606749,0.20454545454545456
Yu_Aminoglycoside,AGILE,0.17937870177102877,0.30851063829787234
Yu_Aminoglycoside,Li_pulmonary,0.1671433129872054,0.2912621359223301
