epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,1,,,0.2015973925590515,0.2015973925590515
0,1,0.30031639337539673,,,
1,3,,,0.058564621955156326,0.058564621955156326
1,3,0.2216002345085144,,,
2,5,,,0.059363432228565216,0.059363432228565216
2,5,0.11358629167079926,,,
3,7,,,0.03977241739630699,0.039772409945726395
3,7,0.07858935743570328,,,
4,9,,,0.04798455536365509,0.04798455536365509
4,9,0.07618309557437897,,,
5,11,,,0.03303946554660797,0.03303946554660797
5,11,0.07186052203178406,,,
6,13,,,0.04095979407429695,0.04095979407429695
6,13,0.055773619562387466,,,
7,15,,,0.04160420969128609,0.04160420596599579
7,15,0.0630674883723259,,,
8,17,,,0.03370141237974167,0.03370141237974167
8,17,0.05657818913459778,,,
9,19,,,0.03717790171504021,0.03717790171504021
9,19,0.050591398030519485,,,
10,21,,,0.04041483625769615,0.04041483253240585
10,21,0.0559433214366436,,,
11,23,,,0.03677570819854736,0.036775700747966766
11,23,0.05573447793722153,,,
12,25,,,0.03581320494413376,0.035813212394714355
12,25,0.050703756511211395,,,
13,27,,,0.03909410908818245,0.03909410536289215
13,27,0.05075002461671829,,,
14,29,,,0.040375225245952606,0.040375225245952606
14,29,0.049431659281253815,,,
15,31,,,0.03777017816901207,0.03777017816901207
15,31,0.05015785992145538,,,
16,33,,,0.0356721468269825,0.0356721468269825
16,33,0.049120210111141205,,,
17,35,,,0.03513658046722412,0.03513658419251442
17,35,0.04941096156835556,,,
18,37,,,0.03556869551539421,0.03556869551539421
18,37,0.05229901522397995,,,
19,39,,,0.0376988910138607,0.0376988910138607
19,39,0.049347374588251114,,,
20,41,,,0.039504874497652054,0.039504870772361755
20,41,0.048748936504125595,,,
21,43,,,0.037902891635894775,0.03790288418531418
21,43,0.04810643941164017,,,
22,45,,,0.03634266555309296,0.03634266555309296
22,45,0.04733087122440338,,,
23,47,,,0.03620840609073639,0.03620840609073639
23,47,0.04608873650431633,,,
24,49,,0.04410785436630249,,
24,49,,,0.037198059260845184,0.037198059260845184
24,49,0.04752788692712784,,,
25,51,,,0.03811926394701004,0.03811926394701004
25,51,0.04914538562297821,,,
26,53,,,0.03888272866606712,0.03888273239135742
26,53,0.04518291354179382,,,
27,55,,,0.04059683531522751,0.04059683531522751
27,55,0.04703867807984352,,,
28,57,,,0.03957647830247879,0.03957648575305939
28,57,0.04598575085401535,,,
29,59,,,0.038439080119132996,0.038439080119132996
29,59,0.04443573206663132,,,
30,61,,,0.038804054260253906,0.0388040617108345
30,61,0.04428564012050629,,,
31,63,,,0.03931024298071861,0.03931024298071861
31,63,0.04445000737905502,,,
32,65,,,0.04003288969397545,0.04003288969397545
32,65,0.044339440762996674,,,
33,67,,,0.04227461665868759,0.04227462038397789
33,67,0.04382700100541115,,,
34,69,,,0.042271025478839874,0.042271021753549576
34,69,0.041587550193071365,,,
35,71,,,0.04120643436908722,0.04120643809437752
35,71,0.043716974556446075,,,
36,73,,,0.04203781113028526,0.04203781113028526
36,73,0.04258406162261963,,,
37,75,,,0.041671473532915115,0.041671473532915115
37,75,0.04223748296499252,,,
38,77,,,0.04152050241827965,0.04152050241827965
38,77,0.041065480560064316,,,
39,79,,,0.04212690144777298,0.04212690144777298
39,79,0.03831871971487999,,,
40,81,,,0.043468818068504333,0.043468818068504333
40,81,0.04027513787150383,,,
41,83,,,0.042147234082221985,0.042147234082221985
41,83,0.037533558905124664,,,
42,85,,,0.0418810099363327,0.0418810099363327
42,85,0.04102586209774017,,,
43,87,,,0.042237281799316406,0.042237281799316406
43,87,0.03962098807096481,,,
44,89,,,0.04054107889533043,0.04054107889533043
44,89,0.04091750085353851,,,
45,91,,,0.041359204798936844,0.041359204798936844
45,91,0.04023032262921333,,,
46,93,,,0.044689908623695374,0.044689908623695374
46,93,0.040079791098833084,,,
47,95,,,0.04233010485768318,0.04233010485768318
47,95,0.04142871871590614,,,
48,97,,,0.04114317521452904,0.041143178939819336
48,97,0.03958335518836975,,,
49,99,,0.04755612462759018,,
49,99,,,0.042154159396886826,0.04215415567159653
49,99,0.04073285683989525,,,
50,101,,,0.0441308468580246,0.0441308468580246
50,101,0.040313735604286194,,,
51,103,,,0.04156104847788811,0.041561052203178406
51,103,0.040154553949832916,,,
52,105,,,0.04201306402683258,0.04201306402683258
52,105,0.04176900163292885,,,
53,107,,,0.041541166603565216,0.041541166603565216
53,107,0.038075875490903854,,,
54,109,,,0.04225607588887215,0.04225607588887215
54,109,0.0399959459900856,,,
55,111,,,0.04514916241168976,0.04514915868639946
55,111,0.03557933121919632,,,
56,113,,,0.043176762759685516,0.043176762759685516
56,113,0.038167379796504974,,,
57,115,,,0.04040839895606041,0.04040839895606041
57,115,0.038248538970947266,,,
58,117,,,0.040474362671375275,0.04047435522079468
58,117,0.03879852592945099,,,
59,119,,,0.04179178923368454,0.04179178178310394
59,119,0.03692171722650528,,,
60,121,,,0.04357590153813362,0.04357590153813362
60,121,0.037285055965185165,,,
61,123,,,0.04267893359065056,0.04267893359065056
61,123,0.03684341534972191,,,
62,125,,,0.04098377004265785,0.04098377004265785
62,125,0.034858617931604385,,,
63,127,,,0.04226807504892349,0.042268071323633194
63,127,0.03899344056844711,,,
64,129,,,0.043029315769672394,0.043029315769672394
64,129,0.03766142204403877,,,
65,131,,,0.043893881142139435,0.043893881142139435
65,131,0.03735264390707016,,,
66,133,,,0.04223277419805527,0.04223277419805527
66,133,0.036640699952840805,,,
67,135,,,0.041711680591106415,0.041711680591106415
67,135,0.03463750705122948,,,
68,137,,,0.04181743413209915,0.04181743413209915
68,137,0.03515104576945305,,,
69,139,,,0.042021241039037704,0.042021241039037704
69,139,0.03677980974316597,,,
70,141,,,0.040636420249938965,0.040636420249938965
70,141,0.03781837597489357,,,
71,143,,,0.041066065430641174,0.041066065430641174
71,143,0.0379156619310379,,,
72,145,,,0.04284575581550598,0.04284575954079628
72,145,0.038518790155649185,,,
73,147,,,0.0435594841837883,0.0435594841837883
73,147,0.03496435657143593,,,
74,149,,0.03337948024272919,,
74,149,,,0.04156025871634483,0.04156025871634483
74,149,0.03532855585217476,,,
75,151,,,0.041890110820531845,0.04189010709524155
75,151,0.036433376371860504,,,
76,153,,,0.04250909388065338,0.04250909388065338
76,153,0.034859590232372284,,,
77,155,,,0.04189483821392059,0.04189483821392059
77,155,0.03405768796801567,,,
78,157,,,0.041118085384368896,0.041118085384368896
78,157,0.03539567440748215,,,
79,159,,,0.04133520647883415,0.04133520647883415
79,159,0.03399136662483215,,,
80,161,,,0.04162047430872917,0.04162047430872917
80,161,0.03545551374554634,,,
81,163,,,0.04397854581475258,0.04397854581475258
81,163,0.03342961519956589,,,
82,165,,,0.04354386404156685,0.04354386404156685
82,165,0.03518129885196686,,,
83,167,,,0.04356788843870163,0.04356788843870163
83,167,0.035379558801651,,,
84,169,,,0.04310210049152374,0.04310210049152374
84,169,0.03235109895467758,,,
85,171,,,0.043887462466955185,0.043887458741664886
85,171,0.035509154200553894,,,
86,173,,,0.043257635086774826,0.043257635086774826
86,173,0.034328360110521317,,,
87,175,,,0.04222787916660309,0.04222787544131279
87,175,0.035306427627801895,,,
88,177,,,0.04362247511744499,0.04362247511744499
88,177,0.03350093215703964,,,
89,179,,,0.0434618778526783,0.043461874127388
89,179,0.03472163900732994,,,
90,181,,,0.04258260875940323,0.04258260875940323
90,181,0.032533932477235794,,,
91,183,,,0.0420701690018177,0.0420701690018177
91,183,0.037467535585165024,,,
92,185,,,0.04271043464541435,0.04271043464541435
92,185,0.0325927771627903,,,
93,187,,,0.04328914359211922,0.04328914359211922
93,187,0.032366521656513214,,,
94,189,,,0.0429876334965229,0.0429876334965229
94,189,0.032211121171712875,,,
95,191,,,0.042544662952423096,0.042544662952423096
95,191,0.0354611873626709,,,
96,193,,,0.04326080530881882,0.04326080158352852
96,193,0.033526573330163956,,,
97,195,,,0.045928169041872025,0.04592817276716232
97,195,0.035047680139541626,,,
98,197,,,0.04512648284435272,0.04512648284435272
98,197,0.033683840185403824,,,
99,199,,0.027237407863140106,,
99,199,,,0.0426531583070755,0.0426531620323658
99,199,0.03421325236558914,,,
100,201,,,0.043088339269161224,0.04308834299445152
100,201,0.03324026241898537,,,
101,203,,,0.04576275870203972,0.04576275497674942
101,203,0.033785417675971985,,,
102,205,,,0.04710720106959343,0.04710720479488373
102,205,0.032668981701135635,,,
103,207,,,0.046825699508190155,0.04682570695877075
103,207,0.033028338104486465,,,
104,209,,,0.0457039512693882,0.0457039512693882
104,209,0.03367343917489052,,,
105,211,,,0.04483658820390701,0.04483659565448761
105,211,0.03171759471297264,,,
106,213,,,0.04437107592821121,0.04437107592821121
106,213,0.033795349299907684,,,
107,215,,,0.043054427951574326,0.043054427951574326
107,215,0.03243651241064072,,,
