fold,pearson,r^2,pearson_p_val,spearman,kendall,rmse,n_vals,note
0,0.7586435428831416,0.5755400251582852,1.8515605011845786e-06,0.6768865098163647,0.5059027681050188,0.15858660202129968,29,
1,0.7829210884735193,0.6129654307765602,5.177514193452968e-07,0.7121020956996703,0.5365248424123277,0.15061027970008503,29,
2,0.7601521553961652,0.5778312993534357,1.718040102318968e-06,0.6872760532313075,0.5099642066493413,0.1575005496739525,29,
3,0.7090199140513749,0.502709238521419,1.6673565908624995e-05,0.6691838993505547,0.5037119928249887,0.18110560285639093,29,
4,0.5906643980648022,0.3488844311412551,0.0007424012307175496,0.5932904256527761,0.45121443909308007,0.22765068047268613,29,
