IL_SMILES,Experiment_value,rel,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,num_permanent_cationic_N,formal_net_charge,Dose_ug_nucleicacid,Sample_weight
CCCCCCCCCCCCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN1CCC(CCCC2CCN(CCO)CC2)CC1)CCCCCC,2.525359966,3,35.0,16.0,46.5,2.5,10.0,6.791721337767835,2,43,14.937,0.927272727,88.54,1,8,63,888.789439,265.4428,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN1CCC(CCCC2CCN(CCO)CC2)CC1)CCCCCC,2.404854895,3,35.0,16.0,46.5,2.5,10.0,6.789454734441126,2,42,14.713,0.890909091,88.54,1,8,63,886.773789,265.3488,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCCCCCCCCCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCCCCCCCCCCCC)CCCCCC,2.378635461,3,35.0,16.0,46.5,2.5,10.0,7.264250706808816,3,78,25.6539,0.909090909,133.38,0,13,101,1426.265149,427.35,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCO)CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)CCCCCC,2.306718502,3,35.0,16.0,46.5,2.5,10.0,7.1884686261737665,1,72,24.1127,0.804878049,147.13,1,12,94,1322.097415,395.5058,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCCC#CCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCC#CCCCCC)CCN(C)CCN(CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCC#CCCCCC)CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCC#CCCCCC)CCCCCC,2.227180493,3,35.0,16.0,46.5,2.5,10.0,7.64064995699707,3,102,32.267,0.808,257.04,0,23,148,2078.589896,604.577,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCCCCCCCCCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCCCCCCCCCCCC)CC1)CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCCCCCCCCCCCC)CCCCCC,2.226998603,3,35.0,16.0,46.5,2.5,10.0,7.916237879231815,4,156,51.4442,0.905882353,260.28,0,24,194,2738.414599,819.706,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCCCCC,2.176469539,3,35.0,16.0,46.5,2.5,10.0,7.261423808181602,3,76,25.2059,0.863636364,133.38,0,13,101,1422.233848,427.162,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCCCCCCCCCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCCCCCCCCCCCC)CCc1ccccn1)CCCCCC,2.166059015,3,35.0,16.0,46.5,2.5,10.0,7.239376482631739,2,77,26.6541,0.850574713,139.79,0,12,99,1391.191649,416.737,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCCN1CCN(C)CC1)CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)CCCCCC,2.071714893,3,35.0,16.0,46.5,2.5,10.0,7.258588895538378,3,74,24.7579,0.818181818,133.38,0,13,101,1418.202548,426.974,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
CCCCCCCCCCCCCCCCCCOC(=O)OC(C/C=C\CCCCCCCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CC(CCCCCC)OC(=O)OCCCCCCCCCCCCCCCCCC)CCCCCC,2.052864271,3,35.0,16.0,46.5,2.5,10.0,7.6330588559864845,3,119,39.0242,0.90625,195.21,0,18,146,2062.834424,619.202,True,True,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,1.0
