fold,accuracy,kappa,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc_macro,roc_auc_weighted,pr_auc_macro,pr_auc_weighted,log_loss,total_samples
0,0.9006968641114983,0.6610903365479236,0.773479421905209,0.9099739935754855,0.7116035051811057,0.881625161675596,0.9871456821737645,0.9880704380849109,0.8751357538188834,0.9744069043504775,0.24192454429949112,574
1,0.9076655052264808,0.6340430650787922,0.7622446745969205,0.9168458838300934,0.7034107402031932,0.8660753190164955,0.9864481378311342,0.9868403305594158,0.8588273921294777,0.9760331485903126,0.22261682271844985,574
2,0.9146341463414634,0.5114893617021277,0.5675156236222039,0.9067831848689071,0.6729078067567397,0.5860039095333213,0.9812015846865584,0.9805300307369501,0.8024821756234385,0.9680229501343585,0.2738646532723439,574
3,0.9217391304347826,0.7015846288693085,0.8074919264341821,0.9273831412102136,0.7653450172721619,0.8788464030058627,0.9877859761972797,0.9891358481965592,0.8659506844251363,0.9740889191993477,0.2303914392995704,575
4,0.9147826086956522,0.6941987301242742,0.7986159259284684,0.9216119048450485,0.7407544086648564,0.8955555555555555,0.989291127908244,0.9898407267199012,0.8792841951996032,0.9777427083921455,0.2315209124246429,575
