fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.995013,0.0,0.987879,0.000355,0.012905,10.0
1,0.996809,0.0,0.983333,0.000417,0.015109,9.0
2,,,,,,1.0
3,0.996482,0.0,0.987879,0.000277,0.011401,10.0
4,0.995585,0.0,0.987879,0.000387,0.013581,10.0
Mean,0.995972,0.0,0.986742,0.000359,0.013249,8.0
