IL_SMILES,Experiment_value,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,num_permanent_cationic_N,formal_net_charge,Dose_ug_nucleicacid,Sample_weight
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,0.2946511962796467,45.0,13.4,39.1,2.5,11.060582463790686,6.566928374543075,1,41,12.6687,0.954545455,76.07,1,6,50,709.644705,213.7478,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.004331173405205,45.0,13.4,39.1,2.5,17.705964802990188,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.099822,348.369,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCC/C=C\COC(=O)CCCCCCCC(CCCCCCCC(=O)OC/C=C\CCCCCC)OC(=O)CCCN(C)C,-0.4140150027037104,45.0,13.4,39.1,2.5,10.55910294346675,6.5206977078369555,1,35,10.841,0.829268293,82.14,0,7,48,677.539013,200.022,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.7456959186954142,45.0,13.4,39.1,2.5,15.4742251985672,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.89025,297.3786,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCO)CCCCCCOC(=O)C(CCCCCC)CCCCCCCC,0.8692644332014787,35.0,28.000000000000004,34.5,2.5,11.9342781498209,6.642864826386585,1,44,13.9425,0.958333333,76.07,1,6,54,765.710256,232.0978,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC1(CCCCCCCC/C=C\C/C=C\CCCCC)OCC(CCN(C)C)O1,0.2372060496642075,35.0,28.000000000000004,34.5,2.5,10.0,6.466315782701154,1,33,13.457,0.813953488,21.7,0,3,46,641.624205,204.677,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C,-0.3393391153321478,35.0,28.000000000000004,34.5,2.5,10.0,6.466315782701154,1,35,13.6472,0.790697674,29.54,0,3,46,641.624205,205.618,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1.3113018817540554,35.0,28.000000000000004,34.5,2.5,11.060582463790686,6.566928374543075,1,41,12.6687,0.954545455,76.07,1,6,50,709.644705,213.7478,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.1071024453684783,35.0,28.000000000000004,34.5,2.5,17.705964802990188,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.099822,348.369,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCC/C=C\COC(=O)CCCCCCCC(CCCCCCCC(=O)OC/C=C\CCCCCC)OC(=O)CCCN(C)C,0.2605826725150642,35.0,28.000000000000004,34.5,2.5,10.55910294346675,6.5206977078369555,1,35,10.841,0.829268293,82.14,0,7,48,677.539013,200.022,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.308486690390443,35.0,28.000000000000004,34.5,2.5,15.4742251985672,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.89025,297.3786,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCO)CCCCCCOC(=O)C(CCCCCC)CCCCCCCC,1.6131573725332873,15.0,21.1,61.4,2.5,11.9342781498209,6.642864826386585,1,44,13.9425,0.958333333,76.07,1,6,54,765.710256,232.0978,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC1(CCCCCCCC/C=C\C/C=C\CCCCC)OCC(CCN(C)C)O1,0.4228772111436024,15.0,21.1,61.4,2.5,10.0,6.466315782701154,1,33,13.457,0.813953488,21.7,0,3,46,641.624205,204.677,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C,0.1496167598433916,15.0,21.1,61.4,2.5,10.0,6.466315782701154,1,35,13.6472,0.790697674,29.54,0,3,46,641.624205,205.618,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1.592855998300765,15.0,21.1,61.4,2.5,11.060582463790686,6.566928374543075,1,41,12.6687,0.954545455,76.07,1,6,50,709.644705,213.7478,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.7062438272337408,15.0,21.1,61.4,2.5,17.705964802990188,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.099822,348.369,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCC/C=C\COC(=O)CCCCCCCC(CCCCCCCC(=O)OC/C=C\CCCCCC)OC(=O)CCCN(C)C,0.4776973271475445,15.0,21.1,61.4,2.5,10.55910294346675,6.5206977078369555,1,35,10.841,0.829268293,82.14,0,7,48,677.539013,200.022,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.6947822471091216,15.0,21.1,61.4,2.5,15.4742251985672,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.89025,297.3786,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCO)CCCCCCOC(=O)C(CCCCCC)CCCCCCCC,0.6136414250457237,47.5,34.0,17.5,1.0,11.9342781498209,6.642864826386585,1,44,13.9425,0.958333333,76.07,1,6,54,765.710256,232.0978,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC1(CCCCCCCC/C=C\C/C=C\CCCCC)OCC(CCN(C)C)O1,0.2480134730556603,47.5,34.0,17.5,1.0,10.0,6.466315782701154,1,33,13.457,0.813953488,21.7,0,3,46,641.624205,204.677,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C,-0.2625092788602822,47.5,34.0,17.5,1.0,10.0,6.466315782701154,1,35,13.6472,0.790697674,29.54,0,3,46,641.624205,205.618,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1.1955308807739409,47.5,34.0,17.5,1.0,11.060582463790686,6.566928374543075,1,41,12.6687,0.954545455,76.07,1,6,50,709.644705,213.7478,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0.8898681211914935,47.5,34.0,17.5,1.0,17.705964802990188,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.099822,348.369,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCC/C=C\COC(=O)CCCCCCCC(CCCCCCCC(=O)OC/C=C\CCCCCC)OC(=O)CCCN(C)C,0.1242797225954418,47.5,34.0,17.5,1.0,10.55910294346675,6.5206977078369555,1,35,10.841,0.829268293,82.14,0,7,48,677.539013,200.022,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.9071646719911236,47.5,34.0,17.5,1.0,15.4742251985672,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.89025,297.3786,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCO)CCCCCCOC(=O)C(CCCCCC)CCCCCCCC,0.3841437851846388,47.5,32.5,17.5,2.5,11.9342781498209,6.642864826386585,1,44,13.9425,0.958333333,76.07,1,6,54,765.710256,232.0978,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC1(CCCCCCCC/C=C\C/C=C\CCCCC)OCC(CCN(C)C)O1,0.2071272575268317,47.5,32.5,17.5,2.5,10.0,6.466315782701154,1,33,13.457,0.813953488,21.7,0,3,46,641.624205,204.677,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C,-0.3090340412281174,47.5,32.5,17.5,2.5,10.0,6.466315782701154,1,35,13.6472,0.790697674,29.54,0,3,46,641.624205,205.618,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1.3662561479886688,47.5,32.5,17.5,2.5,11.060582463790686,6.566928374543075,1,41,12.6687,0.954545455,76.07,1,6,50,709.644705,213.7478,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.0132108576516043,47.5,32.5,17.5,2.5,17.705964802990188,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.099822,348.369,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCC/C=C\COC(=O)CCCCCCCC(CCCCCCCC(=O)OC/C=C\CCCCCC)OC(=O)CCCN(C)C,0.1202649748133162,47.5,32.5,17.5,2.5,10.55910294346675,6.5206977078369555,1,35,10.841,0.829268293,82.14,0,7,48,677.539013,200.022,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.223889881257993,47.5,32.5,17.5,2.5,15.4742251985672,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.89025,297.3786,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCO)CCCCCCOC(=O)C(CCCCCC)CCCCCCCC,0.1223987396167835,35.0,8.0,54.50000000000001,2.5,11.9342781498209,6.642864826386585,1,44,13.9425,0.958333333,76.07,1,6,54,765.710256,232.0978,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC1(CCCCCCCC/C=C\C/C=C\CCCCC)OCC(CCN(C)C)O1,-0.6004543848621365,35.0,8.0,54.50000000000001,2.5,10.0,6.466315782701154,1,33,13.457,0.813953488,21.7,0,3,46,641.624205,204.677,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C,-0.7018697559240803,35.0,8.0,54.50000000000001,2.5,10.0,6.466315782701154,1,35,13.6472,0.790697674,29.54,0,3,46,641.624205,205.618,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,0.2331344482261458,35.0,8.0,54.50000000000001,2.5,11.060582463790686,6.566928374543075,1,41,12.6687,0.954545455,76.07,1,6,50,709.644705,213.7478,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0.98645409842536,35.0,8.0,54.50000000000001,2.5,17.705964802990188,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.099822,348.369,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCC/C=C\COC(=O)CCCCCCCC(CCCCCCCC(=O)OC/C=C\CCCCCC)OC(=O)CCCN(C)C,-0.3911045568257082,35.0,8.0,54.50000000000001,2.5,10.55910294346675,6.5206977078369555,1,35,10.841,0.829268293,82.14,0,7,48,677.539013,200.022,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.238319404959659,35.0,8.0,54.50000000000001,2.5,15.4742251985672,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.89025,297.3786,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCO)CCCCCCOC(=O)C(CCCCCC)CCCCCCCC,0.5944064702983813,35.0,16.0,46.5,2.5,11.9342781498209,6.642864826386585,1,44,13.9425,0.958333333,76.07,1,6,54,765.710256,232.0978,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC1(CCCCCCCC/C=C\C/C=C\CCCCC)OCC(CCN(C)C)O1,-0.1527958305192534,35.0,16.0,46.5,2.5,10.0,6.466315782701154,1,33,13.457,0.813953488,21.7,0,3,46,641.624205,204.677,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C,-0.4679357400950159,35.0,16.0,46.5,2.5,10.0,6.466315782701154,1,35,13.6472,0.790697674,29.54,0,3,46,641.624205,205.618,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1.042222232042432,35.0,16.0,46.5,2.5,11.060582463790686,6.566928374543075,1,41,12.6687,0.954545455,76.07,1,6,50,709.644705,213.7478,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.411982638407579,35.0,16.0,46.5,2.5,17.705964802990188,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.099822,348.369,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCC/C=C\COC(=O)CCCCCCCC(CCCCCCCC(=O)OC/C=C\CCCCCC)OC(=O)CCCN(C)C,0.1805313069237451,35.0,16.0,46.5,2.5,10.55910294346675,6.5206977078369555,1,35,10.841,0.829268293,82.14,0,7,48,677.539013,200.022,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.5123103032266645,35.0,16.0,46.5,2.5,15.4742251985672,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.89025,297.3786,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCO)CCCCCCOC(=O)C(CCCCCC)CCCCCCCC,0.9669479524135268,35.0,50.0,12.5,2.5,11.9342781498209,6.642864826386585,1,44,13.9425,0.958333333,76.07,1,6,54,765.710256,232.0978,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC1(CCCCCCCC/C=C\C/C=C\CCCCC)OCC(CCN(C)C)O1,0.5511024397765824,35.0,50.0,12.5,2.5,10.0,6.466315782701154,1,33,13.457,0.813953488,21.7,0,3,46,641.624205,204.677,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C,0.0696237389271556,35.0,50.0,12.5,2.5,10.0,6.466315782701154,1,35,13.6472,0.790697674,29.54,0,3,46,641.624205,205.618,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1.704759008994866,35.0,50.0,12.5,2.5,11.060582463790686,6.566928374543075,1,41,12.6687,0.954545455,76.07,1,6,50,709.644705,213.7478,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1.4331110664033218,35.0,50.0,12.5,2.5,17.705964802990188,7.036992464683635,5,64,15.9685,1.0,117.35,5,10,80,1136.099822,348.369,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCC/C=C\COC(=O)CCCCCCCC(CCCCCCCC(=O)OC/C=C\CCCCCC)OC(=O)CCCN(C)C,0.3675648142947074,35.0,50.0,12.5,2.5,10.55910294346675,6.5206977078369555,1,35,10.841,0.829268293,82.14,0,7,48,677.539013,200.022,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.5059800344296816,35.0,50.0,12.5,2.5,15.4742251985672,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.89025,297.3786,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1099371686103979,1.0
